"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"57417","1.0","1157","[""PSYCH""]","14","""4/999""","","","[""Howard Thorsheim""]","""1/999""","200","[""HH 319"", ""HH 319""]","15","""Psychophysiology""","225","false","","2","""4/999""","""5/999""","""O""","20072","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","","""Research""","2007"
"57418","1.0","565","[""HIST""]","18","""18/999""","","","[""Todd W. Nichol""]","""0/0""","100","[""RML 421""]","19","""Rolvaag's America""","168","false","","2","""0/0""","""0/0""","""C""","20072","[""M-F 1040-1240PM""]","""R\u00f8lvaag's America""","""Research""","2007"
"57419","1.0","532","[""GCON""]","21","""21/999""","","","[""Charles Wilson""]","""0/999""","100","[""HH 514""]","19","""Romans & Christians""","115","false","""A""","2","""0/999""","""0/999""","""C""","20072","[""M-F 0100-0300PM""]","""The Tradition Continuing: The Romans and the Christians""","""Research""","2007"
"57420","1.0","532","[""GCON""]","19","""19/999""","","","[""Edward Langerak""]","""0/999""","100","[""HH 515""]","19","""Romans & Christians""","115","false","""B""","2","""0/999""","""0/999""","""C""","20072","[""M-F 0100-0300PM""]","""The Tradition Continuing: The Romans and the Christians""","""Research""","2007"
"57421","1.0","532","[""GCON""]","19","""19/999""","","","[""Mary E. Trull""]","""0/999""","100","[""HH 516""]","19","""Romans & Christians""","115","false","""C""","2","""0/999""","""0/999""","""C""","20072","[""M-F 0100-0300PM""]","""The Tradition Continuing: The Romans and the Christians""","""Research""","2007"
"57422","1.0","532","[""GCON""]","22","""22/999""","","","[""Douglas J. Casson""]","""0/999""","100","[""HH 514""]","19","""Romans & Christians""","115","false","""D""","2","""0/999""","""0/999""","""C""","20072","[""M-F 1040-1240PM""]","""The Tradition Continuing: The Romans and the Christians""","""Research""","2007"
"57423","1.0","532","[""GCON""]","18","""18/999""","","","[""Vicki L. Harper""]","""0/999""","100","[""HH 515""]","19","""Romans & Christians""","115","false","""E""","2","""0/999""","""0/999""","""C""","20072","[""M-F 1040-1240PM""]","""The Tradition Continuing: The Romans and the Christians""","""Research""","2007"
"57424","1.0","532","[""GCON""]","18","""18/999""","","","[""Karen E. Marsalek""]","""0/999""","100","[""HH 516""]","19","""Romans & Christians""","115","false","""F""","2","""0/999""","""0/999""","""C""","20072","[""M-F 1040-1240PM""]","""The Tradition Continuing: The Romans and the Christians""","""Research""","2007"
"57425","1.0","17197","[""ENGL""]","36","""26/999""","","","[""Jon Eric Nelson""]","""2/999""","100","[""RML 515""]","35","""Romantic Comedy/Film Noir""","138","false","","2","""6/999""","""2/999""","""C""","20072","[""M-F 0100-0300PM""]","""Romantic Comedy and Film Noir""","""Research""","2007"
"57428","1.0","308","[""EDUC""]","18","""15/999""","","","[""Heather Campbell""]","""0/0""","100","","20","""Schools & Communities""","170","true","","2","""1/0""","""2/999""","""C""","20072","","""Urban Schools and Communities""","""Research""","2007"
"57435","1.0","482","[""FREN""]","12","""6/999""","","","[""Amine R. Bekhechi""]","""1/999""","200","[""OM 026""]","18","""Speaking of French""","250","false","","2","""2/999""","""3/999""","""O""","20072","[""M-F 1040-0300PM""]","""Speaking""","""Research""","2007"
"57449","1.0","742","[""MATH""]","17","""0/999""","","","[""Clifton Corzatt""]","""0/999""","200","","30","""Struct of Higher Math""","234","false","","2","""0/999""","""17/999""","""C""","20072","","""The Structure of Higher Mathematics""","""Research""","2007"
