"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"7518","1.0","316","[""EDUC""]","12","""0/999""","[""Staff""]","""0/999""","300","[""FH 10L"", ""FH 10L""]","999","""Reading Comm Literacy""","315","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0900-1200PM"", ""M-F 0100-0300PM""]","""Research""","2003"
"7519","0.25","353","[""DNCTE""]","4","""0/999""","[""Staff""]","""0/999""","100","[""DC _STUDIO_2""]","999","""Ballet I""","121","true","4","""0/999""","""0/999""","""O""","20034","[""M-F 1230-0200PM""]","""Research""","2003"
"7520","1.0","411","[""ENGL""]","7","""0/999""","[""Staff""]","""0/999""","200","[""RML 525""]","999","""Post-Colonial Lit""","247","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0800-0930""]","""Research""","2003"
"7521","1.0","424","[""ENGL""]","8","""0/999""","[""Staff""]","""0/999""","200","[""RML 525""]","999","""Literature & Film""","275","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7522","1.0","429","[""ENGL""]","4","""0/999""","[""Staff""]","""0/999""","200","[""RML 525""]","999","""Studies in Prose""","283","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1230-0200PM""]","""Research""","2003"
"7523","1.0","438","[""ENGL""]","4","""0/999""","[""Staff""]","""0/999""","300","[""RML 525""]","999","""Top: Post Colonial Lit""","347","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0800-0930""]","""Topic""","2003"
"7524","1.0","508","[""GERM""]","2","""0/999""","[""Staff""]","""0/999""","200","","999","""Intermed German I""","231","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7525","1.0","509","[""GERM""]","3","""0/999""","[""Staff""]","""0/999""","200","","999","""Intermed German II""","232","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7526","1.0","649","[""FAMST""]","7","""0/999""","[""Staff""]","""0/999""","200","[""OM 002""]","999","""Family Relationships""","242","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0800-0930""]","""Research""","2003"
"7527","1.0","651","[""FAMST""]","11","""0/999""","[""Staff""]","""0/999""","200","[""OM 002""]","999","""Human Sexuality""","253","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7528","1.0","731","[""MATH""]","5","""0/999""","[""Staff""]","""0/999""","100","","999","""Calculus I""","120","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7529","1.0","735","[""MATH""]","5","""0/999""","[""Staff""]","""0/999""","200","[""OM 001""]","999","""Principles of Math""","210","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0800-0930""]","""Research""","2003"
"7530","1.0","747","[""MATH""]","4","""0/999""","[""Staff""]","""0/999""","200","","999","""Abstract Algebra I""","252","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7531","1.0","764","[""MATH""]","5","""0/999""","[""Staff""]","""0/999""","300","","999","""Sem: Hist/Phil of Math""","388","false","4","""0/999""","""0/999""","""O""","20034","","""Seminar""","2003"
"7532","1.0","784","[""MGMT""]","4","""0/999""","[""Daniel B. Kramer""]","""0/999""","200","","999","""Academic Internship""","294","true","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7533","0.25","997","[""PEAC""]","4","""0/999""","[""Staff""]","""0/999""","100","","999","""Golf""","103","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7534","0.25","998","[""PEAC""]","3","""0/999""","[""Staff""]","""0/999""","100","[""TC""]","999","""Rock Climbing""","106","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1230-0200PM""]","""Research""","2003"
"7535","0.25","1008","[""PEAC""]","5","""0/999""","[""Staff""]","""0/999""","100","","8","""Scuba Diving""","126","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7536","0.5","1012","[""PEAC""]","7","""0/999""","[""Staff""]","""0/999""","100","[""TC""]","10","""Individual Fitness.50""","133","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0645-0745""]","""Research""","2003"
"7537","0.5","1016","[""PEAC""]","7","""0/999""","[""Staff""]","""0/999""","100","[""TC""]","10","""Wt Training Co-Ed .50""","140","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 0645-0745""]","""Research""","2003"
"7538","1.0","1072","[""PHYS""]","13","""0/999""","[""Staff""]","""0/999""","100","[""SC 170"", ""SC 111""]","999","""Principles Physics I""","124","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130"", ""WTh 0100-0330PM""]","""Research""","2003"
"7539","1.0","1122","[""PSCI""]","8","""0/999""","[""Staff""]","""0/999""","200","[""HH 403""]","999","""Politics & Developmnt""","252","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7540","1.0","1179","[""PSYCH""]","1","""0/999""","[""Shelly D. Dickinson""]","""0/999""","200","","999","""IS/Alcohol Adolescent""","298","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7541","1.0","1209","[""REL""]","12","""0/999""","[""Staff""]","""0/999""","200","[""SC 129""]","999","""God & Human Suffering""","225","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7542","1.0","1234","[""REL""]","18","""0/999""","[""Staff""]","""0/999""","200","[""RML 515""]","999","""Buddhism,Peace,Justic""","289","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1230-0200PM""]","""Research""","2003"
"7543","1.0","1239","[""REL""]","1","""0/999""","[""Jamie A. Schillinger""]","""0/999""","200","","999","""IS/Faith and Works""","298","false","4","""0/999""","""0/999""","""O""","20034","","""Research""","2003"
"7544","1.0","1374","[""THEAT""]","6","""0/999""","[""Staff""]","""0/999""","100","[""TB 216/HAUGE""]","999","""Oral Interpretation""","100","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"
"7545","1.0","1402","[""STAT""]","8","""0/999""","[""Staff""]","""0/999""","100","[""SC 184""]","999","""Prin of Statistics""","110","false","4","""0/999""","""0/999""","""O""","20034","[""M-F 1000-1130""]","""Research""","2003"

