"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"67941","1.0","313","[""EDUC""]","1","""0/999""","","","[""Heather Campbell""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67942","1.0","344","[""EDUC""]","2","""0/999""","","","[""Robert W. McClure""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""1/999""","""C""","20092","","""Internship""","""Research""","2009"
"67943","1.0","374","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67944","1.0","377","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67945","1.0","433","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67946","1.0","449","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67947","1.0","464","[""ENVST""]","2","""0/999""","","","[""Anthony Lott""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67948","1.0","466","[""ENVST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67949","1.0","490","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67950","1.0","494","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67951","1.0","522","[""GERM""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67952","1.0","529","[""GERM""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67953","1.0","543","[""GREEK""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67954","1.0","550","[""GREEK""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Academic Inernship""","""Research""","2009"
"67955","1.0","624","[""HIST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67956","1.0","640","[""HIST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67957","1.0","643","[""HSPST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67958","1.0","646","[""HSPST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67959","1.0","653","[""FAMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67960","1.0","656","[""FAMST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67961","1.0","686","[""IS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67962","1.0","691","[""IS""]","1","""0/999""","","","[""Eric J. Fure-Slocum""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67963","1.0","707","[""ID""]","7","""0/999""","","","[""Sian E. Muir""]","""2/999""","200","","999","""Academic Internship""","294","true","","2","""5/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67964","1.0","709","[""ID""]","1","""0/999""","","","[""Christopher L. Chiappari""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""1/999""","""C""","20092","","","""Research""","2009"
"67965","1.0","716","[""LATIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67966","1.0","725","[""LATIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67967","1.0","751","[""MATH""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67968","1.0","784","[""MGMT""]","7","""0/999""","","","[""Sian E. Muir""]","""2/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""3/999""","""C""","20092","","""Internship""","""Research""","2009"
"67969","1.0","788","[""MGMT""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67970","1.0","795","[""MEDIA""]","4","""0/999""","","","[""William Sonnega""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""3/999""","""1/999""","""C""","20092","","""Internship""","""Research""","2009"
"67971","1.0","797","[""MEDIA""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67972","1.0","846","[""MUSIC""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67973","1.0","865","[""MUSIC""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67974","1.0","917","[""NEURO""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67975","1.0","919","[""NEURO""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67976","1.0","931","[""NORW""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67977","1.0","936","[""NORW""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67978","1.0","942","[""NURS""]","1","""0/999""","","","[""Neil MacNaughton""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67979","1.0","961","[""NURS""]","0","""0/999""","","","[""Rita Glazebrook""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67980","1.0","985","[""PHIL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67981","1.0","992","[""PHIL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67982","1.0","1057","[""ESTH""]","1","""0/999""","","","[""Craig D. Stern""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67983","1.0","1067","[""ESTH""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67984","1.0","1090","[""PHYS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67985","1.0","1100","[""PHYS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67986","1.0","1139","[""PSCI""]","1","""0/999""","","","[""Daniel Hofrenning""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67987","1.0","1151","[""PSCI""]","1","""0/999""","","","[""Daniel Hofrenning""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67988","1.0","1178","[""PSYCH""]","1","""0/999""","","","[""Grace E. Cho""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""1/999""","""C""","20092","","","""Research""","2009"
"67989","1.0","1188","[""PSYCH""]","2","""0/999""","","","[""McMillan Donna K.""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""1/999""","""C""","20092","","","""Research""","2009"
"67990","1.0","1236","[""REL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67991","1.0","1253","[""REL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67992","1.0","1275","[""RUSSN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67993","1.0","1279","[""RUSSN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67994","1.0","1315","[""SOAN""]","5","""0/999""","","","[""Thomas A. Williamson""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""4/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67995","1.0","1319","[""SOAN""]","1","""0/999""","","","[""Ryan R. Sheppard""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67996","1.0","1341","[""SPAN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67997","1.0","1354","[""SPAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"67998","1.0","1366","[""SWRK""]","1","""0/999""","","","[""Naurine Lennox""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"67999","1.0","1372","[""SWRK""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68000","1.0","1394","[""THEAT""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internships""","""Research""","2009"
"68001","1.0","1400","[""THEAT""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"68002","1.0","1409","[""STAT""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"68003","1.0","1413","[""STAT""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"68004","1.0","1477","[""WMNST""]","1","""0/999""","","","[""Judy Kutulas""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20092","","""Internships""","""Research""","2009"
"68005","1.0","1479","[""WMNST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internships""","""Research""","2009"
"68006","1.0","471","[""IDFA""]","","","","","[""Staff""]","","200","","","""Academic Internship""","294","true","","2","","","""C""","20092","","","""Research""","2009"
"68007","1.0","1486","[""ARMS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68008","1.0","1488","[""ARMS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68009","1.0","14","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"68010","1.0","474","[""IDFA""]","","","","","[""Staff""]","","300","","","""Academic Internship""","394","true","","2","","","""C""","20092","","","""Research""","2009"
"68011","1.0","766","[""MATH""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","""Internship""","""Research""","2009"
"68012","1.0","18612","[""AFAM""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68013","1.0","18614","[""AFAM""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68014","1.0","18616","[""BMOLS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68015","1.0","18618","[""BMOLS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68016","1.0","670","[""JAPAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68017","1.0","668","[""JAPAN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68018","1.0","18620","[""MEDVL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68019","1.0","18622","[""MEDVL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68020","1.0","1282","[""RUSST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68021","1.0","1284","[""RUSST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68045","1.0","1376","[""THEAT""]","20","""18/999""","[""ALS-A"", ""ORC""]","","[""Jeanne I. Willcoxon""]","""0/999""","100","[""CHM 140""]","18","""Acting for Non-Majors""","115","false","","2","""2/999""","""0/999""","""C""","20092","[""M-F 1040-1240PM""]","""Acting for the Non-Major""","""Research""","2009"
"68046","1.0","436","[""ENGL""]","12","""0/0""","","","[""Carol Holly""]","""6/999""","300","[""RML 520""]","15","""Adv Lit Era: Decl Indep""","340","false","","2","""5/999""","""1/999""","""O""","20092","[""M-F 1040-1240PM""]","""Advanced Studies in Literary Eras: American""","""Topic""","2009"
"68048","1.0","44","[""ART""]","10","""1/999""","","","[""Wendell Arneson""]","""2/999""","200","[""DC 216"", ""DC 216"", ""DC 216""]","22","""Advanced Drawing""","233","false","","2","""3/999""","""4/999""","""O""","20092","[""M-F 0900-1000"", ""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","","""Research""","2009"
"68052","1.0","18780","[""ASIAN""]","23","""0/999""","","","[""Karil J. Kucera""]","""0/999""","200","","24","""AsianCon2:Meet Sojourners""","215","false","","2","""0/999""","""23/999""","""C""","20092","","""Asian Conversations II: Meeting Sojourners""","""Research""","2009"
"68053","1.0","19742","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","2","""AsianCon2:Meet Sojourners""","216","false","","2","""0/999""","""0/999""","""C""","20092","","","""Research""","2009"
"68054","1.0","189","[""CHEM""]","40","""24/999""","","","[""Mary Walczak""]","""3/999""","100","[""RNS 390""]","45","""Atom/Molec Structure""","123","false","""A""","2","""1/999""","""12/999""","""C""","20092","[""M-F 0800-1000""]","""Atomic and Molecular Structure""","""Research""","2009"
"68055","1.0","189","[""CHEM""]","46","""42/999""","","","[""Nathaniel J. Schaefle""]","""0/999""","100","[""RNS 390""]","45","""Atom/Molec Structure""","123","false","""B""","2","""1/999""","""3/999""","""C""","20092","[""M-F 1040-1240PM""]","""Atomic and Molecular Structure""","""Research""","2009"
"68059","1.0","1324","[""SPAN""]","22","""13/13""","","","[""Sylvia Carullo""]","""1/1""","100","[""OM 021"", ""OM 021""]","23","""Beginning Spanish I""","111","false","","2","""0/0""","""8/4""","""C""","20092","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","","""Research""","2009"
"68061","1.0","977","[""PHIL""]","23","""0/0""","[""EIN""]","","[""Karen Gervais""]","""7/999""","200","[""HH 403""]","25","""Biomedical Ethics""","250","false","","2","""16/999""","""0/0""","""C""","20092","[""M-F 0800-1000""]","","""Research""","2009"
"68082","1.0","232","[""CLASS""]","26","""0/999""","[""ALS-A"", ""HWC""]","","[""Steve T. Reece""]","""10/999""","200","","30","""Class Studies Greece""","251","false","","2","""7/999""","""9/999""","""C""","20092","","""Classical Studies in Greece""","""Research""","2009"
"68090","1.0","736","[""MATH""]","22","""17/999""","[""AQR""]","","[""Jill Dietz""]","""2/999""","200","[""RNS 206"", ""RNS 206""]","30","""Elem Linear Algebra""","220","false","","2","""0/999""","""3/999""","""O""","20092","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","""Elementary Linear Algebra""","""Research""","2009"
"68093","1.0","17587","[""NURS""]","30","""5/999""","[""HBS"", ""WRI""]","","[""Judith Sateren""]","""4/999""","100","[""HH 301"", ""HH 301""]","30","""Family Violence""","130","false","","2","""19/999""","""2/999""","""C""","20092","[""MWF 1040-1240PM"", ""MW 0100-0300PM""]","","""Research""","2009"
"68097","1.0","984","[""PHIL""]","27","""0/999""","[""HBS""]","","[""Gordon D. Marino""]","""7/999""","200","[""RML 421""]","30","""Freud/Human Behavior""","261","false","","2","""7/999""","""13/999""","""O""","20092","[""M-F 0100-0300PM""]","""Freud and the Study of Human Behavior""","""Research""","2009"
"68100","1.0","110","[""BIO""]","25","""7/7""","[""IST"", ""SED""]","110","[""Jean C. Porterfield""]","""6/4""","100","[""RNS 290""]","22","""Genetics/Evolut/Soc""","127","false","","2","""7/4""","""5/7""","""C""","20092","[""M-Th 1040-1220PM""]","""Genetics, Evolution and Society""","""Research""","2009"
"68101","1.0","758","[""MATH""]","25","""0/0""","","","[""Kay E. Smith""]","""16/999""","300","[""RNS 210"", ""RNS 210""]","25","""Geometry""","356","false","","2","""7/999""","""2/999""","""C""","20092","[""M-F 1040-1200PM"", ""M-F 0100-0300PM""]","","""Research""","2009"
"68118","1.0","824","[""MUSIC""]","30","""6/999""","[""ALS-A"", ""MCD""]","","[""Gerald Hoekstra""]","""5/999""","200","[""CHM 239""]","35","""History of Jazz""","231","false","","2","""8/999""","""11/999""","""O""","20092","[""M-F 0100-0300PM""]","","""Research""","2009"
"68119","1.0","704","[""ID""]","14","""0/999""","","","[""Wesley Pearson""]","""8/999""","200","","14","""Hospital Health Care""","255","true","","2","""1/999""","""5/999""","""C""","20092","","""The Physician in Clinical and Hospital Health Care""","""Research""","2009"
"68121","1.0","1357","[""SWRK""]","20","""17/17""","[""WRI""]","","[""Devyani Chandran""]","""0/0""","100","[""BMC 102"", ""BMC 102"", ""BMC 102""]","20","""I Want to Help People""","120","false","","2","""0/0""","""3/3""","""C""","20092","[""T-F 0800-1000"", ""WTh 1040-1240PM"", ""WTh 0100-0300PM""]","","""Research""","2009"
"68122","1.0","489","[""FREN""]","11","""0/999""","","","[""Amine R. Bekhechi""]","""3/999""","200","","18","""ID French St--Paris""","275","false","","2","""0/999""","""8/999""","""C""","20092","","""Interdisciplinary French Studies in Paris""","""Research""","2009"
"68130","0.0","18804","[""CHEM"", ""BIO""]","22","""22/999""","","18803","[""Laura Listenberger""]","""0/999""","100","[""RNS 355""]","24","""Integrate Chem/Bio II Lab""","126","false","""A""","2","""0/999""","""0/999""","""C""","20092","[""M-Th 1230-0300PM""]","","""Lab""","2009"
"68131","0.0","18804","[""CHEM"", ""BIO""]","21","""18/999""","","18803","[""Jeffrey J. Schwinefus""]","""0/999""","100","[""RNS 350""]","24","""Integrate Chem/Bio II Lab""","126","false","""B""","2","""0/999""","""3/999""","""C""","20092","[""M-Th 1230-0300PM""]","","""Lab""","2009"
"68132","1.0","18803","[""CHEM"", ""BIO""]","43","""40/999""","","18803","[""Jeffrey J. Schwinefus"", ""Laura Listenberger""]","""0/999""","100","[""RNS 310"", ""RNS 310""]","48","""Integrated Chem/Bio II""","126","false","","2","""0/999""","""3/999""","""C""","20092","[""M-F 0800-1000"", ""M-F 1040-1240PM""]","""Integrated Chem/Bio II: Thermodynamics and Kinetics with Bio Relevance""","""Research""","2009"
"68133","1.0","1329","[""SPAN""]","22","""6/999""","[""FOL-S"", ""MCG""]","","[""Leon Narvaez""]","""4/999""","200","","22","""Inter Span II-C Rica""","234","false","","2","""1/999""","""11/999""","""C""","20092","","""Intermediate Spanish II in Costa Rica""","""Research""","2009"
"68134","1.0","1328","[""SPAN""]","22","""2/999""","[""FOL-S"", ""MCG""]","","[""Alberto Villate-Isaza""]","""3/999""","200","","22","""Inter Span II-Ecuador""","233","false","","2","""3/999""","""14/999""","""C""","20092","","""Intermediate Spanish II in Ecuador""","""Research""","2009"
"68137","1.0","1326","[""SPAN""]","21","""14/15""","","","[""Kris A. Cropsey""]","""3/999""","200","[""OM 030"", ""OM 030""]","23","""Intermed Spanish I""","231","false","","2","""1/999""","""3/999""","""C""","20092","[""M-F 1040-1140"", ""M-F 0100-0300PM""]","""Intermediate Spanish I""","""Research""","2009"
"68138","1.0","1327","[""SPAN""]","25","""19/17""","[""FOL-S"", ""MCD""]","","[""Ariel Strichartz""]","""3/999""","200","[""OM 011"", ""OM 011""]","23","""Intermed Spanish II""","232","false","","2","""0/999""","""3/999""","""C""","20092","[""M-F 0900-1000"", ""M-F 1040-1240PM""]","""Intermediate Spanish II""","""Research""","2009"
