"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"59653","1.0","1178","[""PSYCH""]","1","""0/999""","","[""Gary M. Muir""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59655","1.0","1236","[""REL""]","1","""0/999""","","[""Gregory A. Walter""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59656","1.0","153","[""BIO""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59657","0.5","1394","[""THEAT""]","0","""0/999""","","[""Todd F. Edwards""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internships""","""Research""","2006"
"59658","1.0","795","[""MEDIA""]","1","""0/999""","","[""David E. Ryan""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59664","1.0","1139","[""PSCI""]","1","""0/999""","","[""Kristina Thalhammer""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59673","1.0","1236","[""REL""]","1","""0/999""","","[""Jamie A. Schillinger""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59676","1.0","313","[""EDUC""]","1","""0/999""","","[""Daniel R. Forstner""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59677","1.0","1236","[""REL""]","1","""0/999""","","[""John Barbour""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59678","1.0","1178","[""PSYCH""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59679","1.0","1188","[""PSYCH""]","1","""0/999""","","[""McMillan Donna K.""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59720","1.0","784","[""MGMT""]","2","""0/999""","","[""Sian E. Muir""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59730","1.0","1094","[""PHYS""]","1","""0/999""","","[""David Nitz""]","""0/999""","300","","999","""Quantum Mechanics""","376","false","","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59824","1.0","961","[""NURS""]","1","""0/999""","","[""Judith Sateren""]","""0/999""","300","","999","""Academic Internship""","394","true","""C""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59847","1.0","993","[""PHIL""]","1","""0/999""","","[""Charles Taliaferro""]","""0/999""","300","","999","""IR/Early America on Rome""","398","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Research""","""Research""","2006"
"59848","1.0","1315","[""SOAN""]","1","""0/999""","","[""Bruce Nordstrom-Loeb""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59849","1.0","451","[""ENGL""]","1","""0/999""","","[""Jan C. Hill""]","""0/999""","300","","999","""IR/Critique War Reporting""","398","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Research""","""Research""","2006"
"59850","1.0","1409","[""STAT""]","1","""0/999""","","[""Julie M. Legler""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59851","0.5","795","[""MEDIA""]","1","""0/999""","","[""William Sonnega""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59852","0.5","784","[""MGMT""]","1","""0/999""","","[""Mary Ann Emery""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59853","1.0","640","[""HIST""]","1","""0/999""","","[""Eric J. Fure-Slocum""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59854","1.0","1188","[""PSYCH""]","1","""0/999""","","[""Dana Gross""]","""0/999""","300","","999","""Academic Internship""","394","true","""A""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59856","1.0","784","[""MGMT""]","1","""0/999""","","[""Richard Goedde""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59857","1.0","433","[""ENGL""]","1","""0/999""","","[""Jan C. Hill""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59858","1.0","1394","[""THEAT""]","0","""0/999""","","[""Karen Wilson""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20065","","""Internships""","""Research""","2006"
"59860","0.5","795","[""MEDIA""]","1","""0/999""","","[""Douglas J. Casson""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59861","0.5","961","[""NURS""]","1","""0/999""","","[""Mary Kuehn""]","""0/999""","300","","999","""Academic Internship""","394","true","""D""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59862","1.0","464","[""ENVST""]","1","""0/999""","","[""Eugene Bakko""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59863","0.5","795","[""MEDIA""]","1","""0/999""","","[""Todd F. Edwards""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59902","1.0","1236","[""REL""]","1","""0/999""","","[""Gary Stansell""]","""0/999""","200","","999","""Academic Internship""","294","true","""D""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59909","1.0","1236","[""REL""]","1","""0/999""","","[""Jason J. Ripley""]","""0/999""","200","","999","""Academic Internship""","294","true","""E""","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"
"59914","1.0","1161","[""PSYCH""]","1","""0/999""","","[""James Dickson Jr.""]","""0/999""","200","","999","""Condition & Learning""","236","false","","5","""0/999""","""0/999""","""C""","20065","","""Conditioning and Learning""","""Research""","2006"
"59915","0.0","1162","[""PSYCH""]","1","""0/999""","","[""James Dickson Jr.""]","""0/999""","200","","999","""Condition & Learning Lab""","236","false","","5","""0/999""","""0/999""","""C""","20065","","","""Lab""","2006"
"59932","1.0","642","[""HIST""]","1","""0/999""","","[""Timothy R. Howe""]","""0/999""","300","","999","""IR/Archaeology and Greece""","398","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Research""","""Research""","2006"
"59933","1.0","788","[""MGMT""]","0","""0/999""","","[""Richard Goedde""]","""0/999""","300","","999","""Academic Internship""","394","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59934","1.0","717","[""LATIN""]","1","""0/999""","","[""Anne Groton""]","""0/999""","200","","999","""IS/Livy and Sallust""","298","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Study""","""Research""","2006"
"59946","0.5","153","[""BIO""]","1","""0/999""","","[""Anne Walter""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"59957","1.0","256","[""ECON""]","13","""0/999""","","[""Steve Soderlind""]","""0/999""","100","","999","""Capitalism: Struggles""","113","false","","5","""0/999""","""0/999""","""O""","20065","","""Capitalism: The Struggle of Economic Ideas in History""","""Research""","2006"
"59970","1.0","375","[""DANCE""]","1","""0/999""","","[""Heather J. Klopchin""]","""0/999""","200","","999","""IS/Investigating Dance""","298","false","","5","""0/999""","""0/999""","""O""","20065","","""Independent Study""","""Research""","2006"
"59971","1.0","784","[""MGMT""]","1","""0/999""","","[""Edward David Emery""]","""0/999""","200","","999","""Academic Internship""","294","true","""C""","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"60031","1.0","451","[""ENGL""]","1","""0/999""","","[""Jenny Dunning""]","""0/999""","300","","999","""IR/Adv. Travel Writing""","398","false","""A""","5","""0/999""","""0/999""","""O""","20065","","""Independent Research""","""Research""","2006"
"60045","1.0","522","[""GERM""]","1","""0/999""","","[""Karen R. Achberger""]","""0/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","""Internship""","""Research""","2006"
"60549","1.0","100","[""BIO""]","37","""0/999""","100","[""Charles Jr. Umbanhowar""]","""0/999""","100","","999","""Biological Science""","121","false","","5","""0/999""","""0/999""","""O""","20065","","""Biological Science: Issues in Biology""","""Research""","2006"
"60550","0.0","101","[""BIO""]","37","""0/999""","100","[""Charles Jr. Umbanhowar""]","""0/999""","100","","999","""Biological Science Lab""","121","false","","5","""0/999""","""0/999""","""O""","20065","","","""Lab""","2006"
"65323","1.0","707","[""ID""]","1","""0/999""","","[""Karen Wilson""]","""1/999""","200","","999","""Academic Internship""","294","true","","5","""0/999""","""0/999""","""O""","20065","","","""Research""","2006"

