"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"47405","1.0","993","[""PHIL""]","0","""0/0""","","[""Staff""]","""0/0""","300","","0","""IR/""","398","false","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47406","0.5","961","[""NURS""]","2","""0/0""","","[""Diana Neal""]","""0/0""","300","","0","""Academic Internship""","394","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47407","0.5","961","[""NURS""]","1","""0/0""","","[""Mary Kuehn""]","""0/0""","300","","0","""Academic Internship""","394","true","""B""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47408","0.5","961","[""NURS""]","2","""0/0""","","[""Judith Sateren""]","""0/0""","300","","0","""Academic Internship""","394","true","""C""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47409","1.0","14","[""AMST""]","1","""0/0""","","[""James Farrell""]","""0/0""","300","","0","""Academic Internship""","394","true","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47420","1.0","961","[""NURS""]","2","""0/0""","","[""Mary Kuehn""]","""0/0""","300","","0","""Academic Internship""","394","true","""D""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47428","1.0","1188","[""PSYCH""]","2","""0/0""","","[""Dana Gross""]","""0/0""","300","","0","""Academic Internship""","394","true","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47429","0.5","795","[""MEDIA""]","4","""0/0""","","[""William Sonnega""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47430","0.5","795","[""MEDIA""]","1","""0/0""","","[""William Sonnega""]","""0/0""","200","","0","""Academic Internship""","294","true","""B""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47433","1.0","153","[""BIO""]","1","""0/0""","","[""Michael Swift""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47434","0.5","153","[""BIO""]","1","""0/0""","","[""Theodore Johnson""]","""0/0""","200","","0","""Academic Internship""","294","true","""B""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47436","0.5","276","[""ECON""]","1","""0/0""","","[""Sian E. Muir""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47437","1.0","276","[""ECON""]","1","""0/0""","","[""Edward David Emery""]","""0/0""","200","","0","""Academic Internship""","294","true","""B""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47439","1.0","1236","[""REL""]","1","""0/0""","","[""L. DeAne Lagerquist""]","""0/0""","200","","0","""Academic Internship""","294","true","""A""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47441","1.0","1236","[""REL""]","1","""0/0""","","[""James Hanson""]","""0/0""","200","","0","""Academic Internship""","294","true","""B""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47444","1.0","449","[""ENGL""]","1","""0/0""","","[""Jan C. Hill""]","""0/0""","300","","0","""Academic Internship""","394","true","","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47446","1.0","1236","[""REL""]","1","""0/0""","","[""Douglas Schuurman""]","""0/0""","200","","0","""Academic Internship""","294","true","""C""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
"47458","1.0","795","[""MEDIA""]","1","""0/0""","","[""William Sonnega""]","""0/0""","200","","0","""Academic Internship""","294","true","""C""","5","""0/0""","""0/0""","""C""","20045","","""Research""","2004"
"47467","1.0","784","[""MGMT""]","4","""0/0""","","[""Sian E. Muir""]","""0/0""","200","","0","""Academic Internship""","294","true","""B""","5","""0/0""","""0/0""","""O""","20045","","""Research""","2004"
