"clbid","credits","crsid","departments","enrolled","firsties","gereqs","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"2645","1.0","215","[""CHEM""]","12","""0/999""","","[""Wesley Pearson""]","""5/999""","300","[""SC 310""]","24","""Organic Analys/Theory""","380","false","","2","""7/999""","""0/999""","""O""","20012","[""M-F 0800-1000""]","""Research""","2001"
"2646","1.0","232","[""CLASS""]","27","""0/999""","","[""Gwendolyn Compton-Engle""]","""0/999""","200","","30","""Class Studies Greece""","251","false","","2","""1/999""","""0/999""","""C""","20012","","""Research""","2001"
"2647","1.0","254","[""ECON""]","25","""19/999""","","[""Edward David Emery""]","""0/999""","100","[""H 403"", ""SC 186""]","30","""Capitalism: Econ Hist""","111","false","","2","""0/999""","""8/999""","""C""","20012","[""M-F 0900-1000"", ""M-F 1050-1220PM""]","""Research""","2001"
"2648","1.0","261","[""ECON""]","18","""0/999""","","[""Xun Pomponio""]","""0/999""","200","","20","""Econ Progress China""","218","false","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2649","1.0","273","[""ECON""]","18","""0/999""","","[""William L. Carlson""]","""0/999""","200","","20","""Britain in Transition""","253","false","","2","""1/999""","""0/999""","""C""","20012","","""Research""","2001"
"2650","1.0","276","[""ECON""]","2","""0/999""","","[""Paul Wojick""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20012","","""Research""","2001"
"2651","1.0","276","[""ECON""]","1","""0/999""","","[""Terry J. Fitzgerald""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2652","1.0","276","[""ECON""]","1","""0/999""","","[""Bruce Dalgaard""]","""0/999""","200","","999","""Academic Internship""","294","true","""B""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2653","1.0","277","[""ECON""]","1","""0/999""","","[""Paul Wojick""]","""0/999""","200","","999","""IS/Financial World""","298","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2654","1.0","277","[""ECON""]","1","""0/999""","","[""Steve Soderlind""]","""0/999""","200","","999","""IS/Banking in B'desh""","298","false","""A""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2655","1.0","277","[""ECON""]","1","""0/999""","","[""Steve Soderlind""]","""0/999""","200","","999","""IS/Discrete Math Econ""","298","false","""B""","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2656","1.0","284","[""ECON""]","1","""0/999""","","[""Steve Soderlind""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""O""","20012","","""Research""","2001"
"2657","1.0","307","[""CSCI""]","2","""0/999""","","[""Richard Brown""]","""0/999""","300","","999","""IR/Operating Systems""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2658","1.0","308","[""EDUC""]","14","""2/999""","","[""Maria L. Kelly""]","""0/999""","100","","20","""Schools & Communities""","170","true","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2659","1.0","310","[""EDUC""]","12","""0/999""","","[""Myron L. Solid""]","""0/999""","200","","25","""Perspectives On Tchg""","260","true","","2","""0/999""","""14/999""","""C""","20012","","""Research""","2001"
"2660","1.0","338","[""EDUC""]","29","""0/999""","","[""Mark Schelske""]","""1/999""","300","","30","""Multi-Cult Ed Hawaii""","378","true","","2","""1/999""","""0/999""","""C""","20012","","""Research""","2001"
"2661","1.0","339","[""EDUC""]","24","""0/999""","","[""Rosemary A. Pfarr-Baker""]","""25/999""","300","","40","""Urban Ed Practicum""","379","true","","2","""0/999""","""0/999""","""C""","20012","","""Research""","2001"
"2662","1.0","345","[""EDUC""]","1","""0/999""","","[""Mark Schelske""]","""0/999""","300","","999","""IR/Teaching of French""","398","false","","2","""0/999""","""0/999""","""O""","20012","","""Research""","2001"
"2663","1.0","1647","[""DNCTH""]","","","","[""Susan Bauer""]","","100","[""DANCE ST 3"", ""DANCE ST 3""]","","""Diversity ISSues""","122","false","","2","","","""C""","20012","[""M-Th 0900-1000"", ""M-Th 1045-1200PM""]","""Research""","2001"
