"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"59029","0.5","1016","[""PEAC""]","5","""0/999""","","[""Christine Daymont""]","""4/999""","100","[""SAC 112""]","10","""Wt Training Co-Ed .50""","140","false","","4","""0/999""","""1/999""","""O""","20064","[""M-F 0645-0745""]","""Weight Training""","""Research""","2006"
"59032","1.0","616","[""HIST""]","10","""0/999""","","[""Megan J. Feeney""]","""5/999""","200","[""RML 577""]","999","""Women in America""","272","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 1000-1130""]","","""Research""","2006"
"59035","1.0","1402","[""STAT""]","8","""0/999""","","[""Sharon Lane-Getaz""]","""3/999""","100","[""SC 182""]","999","""Prin of Statistics""","110","false","","4","""0/999""","""3/999""","""O""","20064","[""M-F 1000-1130""]","""Principles of Statistics""","""Research""","2006"
"59036","1.0","735","[""MATH""]","0","""0/999""","","[""Peder Bolstad""]","""0/999""","200","[""DC 204""]","999","""Principles of Math""","210","false","","4","""0/999""","""0/999""","""X""","20064","[""M-F 0800-0930""]","""Principles of Mathematics""","""Research""","2006"
"59037","1.0","731","[""MATH""]","0","""0/999""","","[""Peder Bolstad""]","""1/999""","100","[""TBA""]","999","""Calculus I""","120","false","","4","""0/999""","""0/999""","""X""","20064","[""M-F 1000-1130""]","","""Research""","2006"
"59038","1.0","1104","[""PSCI""]","3","""0/999""","","[""D Christopher Brooks""]","""0/999""","100","[""RML 520""]","999","""Comparative Politics""","112","false","","4","""0/999""","""1/999""","""O""","20064","[""M-F 1230-0200PM""]","","""Research""","2006"
"59039","1.0","1119","[""PSCI""]","8","""0/999""","","[""D Christopher Brooks""]","""2/999""","200","[""RML 520""]","999","""Distributive Justice""","249","false","","4","""0/999""","""2/999""","""O""","20064","[""M-F 1000-1130""]","","""Research""","2006"
"59040","1.0","1399","[""THEAT""]","5","""0/999""","","[""Karen Wilson""]","""2/999""","300","[""TB 227""]","999","""Top:Theatre in Society""","380","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 0800-0930""]","""Theater in Society""","""Topic""","2006"
"59041","1.0","1374","[""THEAT""]","4","""0/999""","","[""Karen Wilson""]","""2/999""","100","[""TB 227""]","999","""Oral Interpretation""","100","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 1000-1130""]","","""Research""","2006"
"59043","1.0","1209","[""REL""]","22","""0/999""","","[""Edmund Santurri""]","""9/999""","200","[""RML 420""]","999","""God & Human Suffering""","225","false","","4","""0/999""","""4/999""","""O""","20064","[""M-F 1230-0200PM""]","""God and Human Suffering""","""Research""","2006"
"59046","1.0","804","[""MUSIC""]","1","""0/999""","","[""Charles Forsberg""]","""0/999""","100","[""CHM 232""]","999","""The Art of Music""","131","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 0800-0930""]","","""Research""","2006"
"59047","1.0","821","[""MUSIC""]","6","""0/999""","","[""Charles Forsberg""]","""2/999""","200","[""CHM 232""]","999","""Counterpoint""","222","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 1030-1200PM""]","","""Research""","2006"
"59050","1.0","1165","[""PSYCH""]","7","""0/999""","","[""Shelly D. Dickinson""]","""1/999""","200","[""HH 403""]","999","""Biopsychology""","238","false","","4","""0/999""","""2/999""","""O""","20064","[""M-F 1000-1130""]","","""Research""","2006"
"59052","1.0","315","[""EDUC""]","18","""0/999""","","[""Daniel R. Forstner""]","""1/999""","300","","999","""Soc St-Elem Classroom""","314","false","","4","""0/999""","""1/999""","""O""","20064","","""Social Studies in Elementary Classrooms""","""Research""","2006"
"59056","1.0","17675","[""EDUC""]","4","""0/999""","","[""Heather Campbell""]","""2/999""","300","","999","""Teaching ESL K-12""","347","false","","4","""0/999""","""1/999""","""O""","20064","","","""Research""","2006"
"59057","1.0","17676","[""EDUC""]","4","""0/999""","","[""Heather Campbell""]","""2/999""","300","","999","""Assessment of ESL K-12""","348","false","","4","""0/999""","""1/999""","""O""","20064","","","""Research""","2006"
"59058","1.0","192","[""CHEM""]","9","""0/999""","192","[""Patrick N. Riley""]","""1/999""","100","[""SC 374""]","999","""Struct Chem & Equilib""","125","false","","4","""0/999""","""5/999""","""O""","20064","[""M-F 0230-0400PM""]","""Structural Chemistry and Equilibrium""","""Research""","2006"
"59059","0.0","193","[""CHEM""]","9","""0/999""","192","[""Staff""]","""1/999""","100","[""SC 371""]","999","""Struct Chem & Equilib Lab""","125","false","","4","""0/999""","""5/999""","""O""","20064","[""MW 0900-1200PM""]","","""Lab""","2006"
"59060","1.0","196","[""CHEM""]","22","""0/999""","","[""Anthony T. Watson"", ""Wesley Pearson""]","""3/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","","4","""0/999""","""7/999""","""O""","20064","[""M-F 1000-1130""]","","""Research""","2006"
"59061","0.25","199","[""CHEM""]","20","""0/999""","","[""Anthony T. Watson""]","""1/999""","200","[""SC 311""]","999","""Synthesis Lab""","253","true","""A""","4","""0/999""","""4/999""","""O""","20064","[""MW 0100-0400PM""]","""Synthesis Laboratory""","""Lab""","2006"
"59067","0.25","199","[""CHEM""]","0","""0/999""","","[""Staff""]","""1/999""","200","[""SC 311""]","999","""Synthesis Lab""","253","true","""B""","4","""0/999""","""2/999""","""C""","20064","[""TTh 0100-0400PM""]","""Synthesis Laboratory""","""Lab""","2006"
"59119","1.0","1072","[""PHYS""]","15","""0/999""","1072","[""Dahl David A.""]","""3/999""","100","[""SC 170""]","999","""Principles Physics I""","124","false","","4","""0/999""","""2/999""","""O""","20064","[""M-F 0800-0930""]","""Principles of Physics I""","""Research""","2006"
"59120","0.0","1073","[""PHYS""]","15","""0/999""","1072","[""Dahl David A.""]","""3/999""","100","[""SC 111""]","999","""Principles Physics I Lab""","124","false","","4","""0/999""","""2/999""","""O""","20064","[""MW 0100-0330PM""]","","""Lab""","2006"
"59153","1.0","504","[""GERM""]","2","""0/999""","","[""Renata Debska-McWilliams""]","""0/999""","100","","999","""Beginning German I""","111","false","","4","""0/999""","""1/999""","""O""","20064","","","""Research""","2006"
"59154","1.0","505","[""GERM""]","0","""0/999""","","[""Renata Debska-McWilliams""]","""0/999""","100","","999","""Beginning German II""","112","false","","4","""0/999""","""0/999""","""O""","20064","","","""Research""","2006"
"59155","1.0","508","[""GERM""]","0","""0/999""","","[""Renata Debska-McWilliams""]","""0/999""","200","","999","""Intermed German I""","231","false","","4","""0/999""","""0/999""","""O""","20064","","""Intermediate German I""","""Research""","2006"
"59156","1.0","509","[""GERM""]","2","""0/999""","","[""Renata Debska-McWilliams""]","""1/999""","200","","999","""Intermed German II""","232","false","","4","""0/999""","""0/999""","""O""","20064","","""Intermediate German II""","""Research""","2006"
"59210","1.0","126","[""BIO""]","25","""0/999""","126","[""Louis Henry Kermott""]","""10/999""","200","[""SC 278""]","24","""Human Anatomy & Physiol""","243","false","","4","""0/999""","""3/999""","""C""","20064","[""M-F 1000-1130""]","""Human Anatomy and Physiology""","""Research""","2006"
"59211","0.0","127","[""BIO""]","25","""0/999""","126","[""Louis Henry Kermott""]","""10/999""","200","[""SC 253""]","24","""Human Anatomy & Physiol L""","243","false","","4","""0/999""","""3/999""","""C""","20064","[""TTh 0100-0400PM""]","","""Lab""","2006"
"59303","1.0","792","[""MEDIA""]","6","""0/999""","","[""William Sonnega""]","""3/999""","100","[""TB 216""]","999","""Mass Media""","160","false","","4","""0/999""","""1/999""","""O""","20064","[""M-F 0800-0930""]","","""Research""","2006"
"59395","1.0","316","[""EDUC""]","18","""0/999""","","[""Daniel R. Forstner""]","""1/999""","300","","999","""Reading Comm Literacy""","315","false","","4","""0/999""","""1/999""","""O""","20064","","""Reading, Communication, and Literacy Methods""","""Research""","2006"
"59403","1.0","745","[""MATH""]","0","""0/999""","","[""Bruce Hanson""]","""0/999""","200","[""SC 186""]","999","""Elem Real Analysis""","244","false","","4","""0/999""","""0/999""","""O""","20064","[""M-F 0800-0930""]","""Elementary Real Analysis""","""Research""","2006"
"59601","0.5","336","[""EDUC""]","1","""0/999""","","[""Heather Campbell""]","""0/999""","300","","999","""Reading/Diff Instruction""","375","false","","4","""0/999""","""0/999""","""O""","20064","","""The Exceptional Child""","""Research""","2006"
"59901","1.0","1058","[""PETH""]","1","""0/999""","","[""Shahram Ahrar""]","""0/999""","200","","999","""IS/POTS: Research/Rehab""","298","false","","4","""0/999""","""0/999""","""O""","20064","","""Independent Study""","""Research""","2006"

