"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"90776","1.0","690","[""IS""]","1","""0/999""","","","","","[""Thomas A. Williamson""]","""0/999""","300","","999","""Senior Project II""","392","false","""B""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90777","1.0","690","[""IS""]","1","""0/999""","","","","","[""Todd F. Edwards""]","""0/999""","300","","999","""Senior Project II""","392","false","""C""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90778","1.0","690","[""IS""]","1","""0/999""","","","","","[""Jeanne I. Willcoxon""]","""0/999""","300","","999","""Senior Project II""","392","false","""D""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90779","1.0","690","[""IS""]","1","""0/999""","","","","","[""Steven Edwins""]","""0/999""","300","","999","""Senior Project II""","392","false","""E""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90780","1.0","690","[""IS""]","1","""0/999""","","","","","[""Anne Walter""]","""0/999""","300","","999","""Senior Project II""","392","false","""F""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90781","1.0","690","[""IS""]","1","""0/999""","","","","","[""Abdulai Iddrisu""]","""0/999""","300","","999","""Senior Project II""","392","false","""G""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90782","1.0","690","[""IS""]","1","""0/999""","","","","","[""Brian Bjorklund""]","""0/999""","300","","999","""Senior Project II""","392","false","""H""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90783","1.0","690","[""IS""]","1","""0/999""","","","","","[""William Sonnega""]","""0/999""","300","","999","""Senior Project II""","392","false","""I""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90784","1.0","690","[""IS""]","1","""0/999""","","","","","[""James Demas""]","""0/999""","300","","999","""Senior Project II""","392","false","""J""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
"90785","1.0","690","[""IS""]","1","""0/999""","","","","","[""Karen Wilson""]","""0/999""","300","","999","""Senior Project II""","392","false","""K""","3","""1/999""","""0/999""","""C""","20133","","","""Research""","2013"
