"clbid","credits","crsid","departments","enrolled","firsties","gereqs","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"8433","1.0","1257","[""REL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""C""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"8434","1.0","1258","[""REL""]","14","""0/999""","","","[""Jamie A. Schillinger""]","""0/999""","300","[""BMC 109""]","15","""Thematic Seminar""","399","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 1150-1245PM""]","""Research""","2004"
"8435","1.0","1259","[""RUSSN""]","13","""6/999""","","","[""Irina Walter""]","""0/999""","100","[""OM 004"", ""OM 030""]","10","""Beginning Russian I""","111","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1150-1245PM"", ""T 1150-1245PM""]","""Research""","2004"
"8436","1.0","1259","[""RUSSN""]","6","""6/999""","","","[""Irina Walter""]","""0/999""","100","[""OM 002"", ""OM 030""]","10","""Beginning Russian I""","111","false","""B""","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0255PM"", ""T 1150-1245PM""]","""Research""","2004"
"8437","1.0","1259","[""RUSSN""]","4","""2/999""","","","[""Irina Walter""]","""0/999""","100","[""OM 004"", ""OM 001""]","10","""Beginning Russian I""","111","false","""C""","1","""0/999""","""0/999""","""O""","20041","[""MWF 1150-1245PM"", ""T 0200-0255PM""]","""Research""","2004"
"8438","1.0","1259","[""RUSSN""]","7","""7/999""","","","[""Irina Walter""]","""0/999""","100","[""OM 002"", ""OM 001""]","10","""Beginning Russian I""","111","false","""D""","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0255PM"", ""T 0200-0255PM""]","""Research""","2004"
"8439","1.0","1263","[""RUSSN""]","15","""4/999""","","","[""Bryn Geffert""]","""0/999""","100","[""HH 302""]","25","""The Russian World""","124","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 0905-1000""]","""Research""","2004"
"8440","1.0","1264","[""RUSSN""]","10","""0/999""","","","[""Marc Robinson""]","""0/999""","200","[""OM 035"", ""OM 002""]","10","""Intermed Russian I""","231","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1150-1245PM"", ""T 1150-1245PM""]","""Research""","2004"
"8441","1.0","1264","[""RUSSN""]","7","""0/999""","","","[""Marc Robinson""]","""0/999""","200","[""OM 020"", ""OM 002""]","10","""Intermed Russian I""","231","false","""B""","1","""0/999""","""0/999""","""O""","20041","[""MWF 0905-1000"", ""T 1150-1245PM""]","""Research""","2004"
"8442","1.0","1264","[""RUSSN""]","2","""0/999""","","","[""Marc Robinson""]","""0/999""","200","[""OM 035"", ""OM 011""]","10","""Intermed Russian I""","231","false","""C""","1","""0/999""","""0/999""","""O""","20041","[""MWF 1150-1245PM"", ""T 0800-0855""]","""Research""","2004"
