"clbid","credits","crsid","departments","enrolled","firsties","gereqs","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"7836","1.0","344","[""EDUC""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7837","1.0","345","[""EDUC""]","1","""0/999""","","","[""Martha Wallace""]","""0/999""","300","","999","""IR/Knowing Elem Math""","398","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7838","1.0","345","[""EDUC""]","1","""0/999""","","","[""Mark Schelske""]","""0/999""","300","","999","""IR/Adolescents/Art Ed""","398","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7839","0.25","347","[""DNCTE""]","18","""0/999""","","","[""Anne von Bibra""]","""0/999""","100","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","18","""Ballroom I (Men)""","106","true","""A""","1","""0/999""","""0/999""","""C""","20041","[""T 1005-1100"", ""Th 0955-1050""]","""Research""","2004"
"7840","0.25","347","[""DNCTE""]","19","""0/999""","","","[""Anne von Bibra""]","""0/999""","100","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","15","""Ballroom I (Women)""","106","true","""B""","1","""0/999""","""0/999""","""C""","20041","[""T 1005-1100"", ""Th 0955-1050""]","""Research""","2004"
"7841","0.25","348","[""DNCTE""]","14","""5/999""","","","[""Anne von Bibra""]","""0/999""","100","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","26","""Am Dance: Nat/Immigr""","108","true","","1","""0/999""","""0/999""","""O""","20041","[""T 0200-0255PM"", ""Th 0240-0335PM""]","""Research""","2004"
"7842","0.25","350","[""DNCTE""]","15","""7/999""","","","[""Sheryl Saterstrom""]","""0/999""","100","[""DC _STUDIO_2""]","15","""Fundamentally Dance""","110","true","","1","""0/999""","""0/999""","""C""","20041","[""MW 1150-1245PM""]","""Research""","2004"
"7843","0.25","351","[""DNCTE""]","20","""1/999""","","","[""Anthony Roberts""]","""0/999""","100","[""DC _STUDIO_1""]","17","""Modern Dance I""","111","true","""A""","1","""0/999""","""0/999""","""C""","20041","[""MW 1255-0150PM""]","""Research""","2004"
"7844","0.25","351","[""DNCTE""]","17","""1/999""","","","[""Sheryl Saterstrom""]","""0/999""","100","[""DC _STUDIO_3"", ""DC _STUDIO_3""]","15","""Modern Dance I""","111","true","""B""","1","""0/999""","""0/999""","""C""","20041","[""T 1150-1245PM"", ""Th 1245-0140PM""]","""Research""","2004"
"7845","0.25","353","[""DNCTE""]","22","""7/999""","","","[""Heather J. Klopchin""]","""0/999""","100","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","20","""Ballet I""","121","true","","1","""0/999""","""0/999""","""C""","20041","[""T 1150-1245PM"", ""Th 1245-0140PM""]","""Research""","2004"
"7846","0.5","354","[""DNCTE""]","19","""1/999""","","","[""Sheryl Saterstrom""]","""0/999""","200","[""DC _STUDIO_3""]","15","""Body Moveable""","201","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000""]","""Research""","2004"
"7847","0.5","357","[""DNCTE""]","3","""2/999""","","","[""Anthony Roberts""]","""0/999""","200","[""DC _STUDIO_2""]","5","""Modern Dance II""","210","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MW 0200-0330PM""]","""Research""","2004"
"7848","0.5","357","[""DNCTE""]","2","""2/999""","","","[""Sheryl Saterstrom""]","""0/999""","200","[""DC _STUDIO_3"", ""DC _STUDIO_3""]","4","""Modern Dance II""","210","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7849","0.25","358","[""DNCTE""]","9","""2/999""","","","[""Anthony Roberts""]","""0/999""","200","[""DC _STUDIO_2""]","15","""Modern Dance II""","211","false","""A""","1","""0/999""","""0/999""","""O""","20041","[""MW 0200-0330PM""]","""Research""","2004"
"7850","0.25","358","[""DNCTE""]","8","""2/999""","","","[""Sheryl Saterstrom""]","""0/999""","200","[""DC _STUDIO_3"", ""DC _STUDIO_3""]","12","""Modern Dance II""","211","false","""B""","1","""0/999""","""0/999""","""O""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7851","0.5","359","[""DNCTE""]","3","""3/999""","","","[""Heather J. Klopchin""]","""0/999""","200","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","8","""Ballet II""","220","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"7852","0.25","360","[""DNCTE""]","13","""8/999""","","","[""Heather J. Klopchin""]","""0/999""","200","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","11","""Ballet II""","221","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"7853","0.5","362","[""DNCTE""]","0","""0/999""","","","[""Janice Roberts""]","""0/999""","300","[""DC _STUDIO_1""]","4","""Modern III""","310","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0330PM""]","""Research""","2004"
"7854","0.25","363","[""DNCTE""]","7","""0/999""","","","[""Janice Roberts""]","""0/999""","300","[""DC _STUDIO_1""]","10","""Modern III""","311","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0330PM""]","""Research""","2004"
"7855","0.5","364","[""DNCTE""]","1","""1/999""","","","[""Jennifer Bader""]","""0/999""","300","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","4","""Ballet III""","320","false","","1","""0/999""","""0/999""","""O""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7856","0.25","365","[""DNCTE""]","7","""0/999""","","","[""Jennifer Bader""]","""0/999""","300","[""DC _STUDIO_2"", ""DC _STUDIO_2""]","12","""Ballet III""","321","false","","1","""0/999""","""0/999""","""O""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7857","1.0","366","[""DNCTH""]","","","","","[""Heather J. Klopchin""]","","100","[""DC 305""]","","""Exploring Dance""","100","false","","1","","","""O""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"7858","1.0","369","[""DNCTH""]","","","","","[""Janice Roberts""]","","200","[""DC _STUDIO_1"", ""DC _STUDIO_1""]","","""Choreography & Improv""","231","false","","1","","","""O""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7859","1.0","370","[""DNCTH""]","","","","","[""Susan Bauer""]","","200","[""DC _STUDIO_1""]","","""Movement Analysis""","232","false","","1","","","""C""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7860","1.0","373","[""DNCTH""]","","","","","[""Susan Bauer""]","","200","[""TB 216"", ""TB 216""]","","""Move/Dance Cult/Expr""","264","false","","1","","","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7861","1.0","374","[""DNCTH""]","","","","","[""Staff""]","","200","","","""Academic Internship""","294","true","","1","","","""O""","20041","","""Research""","2004"
"7862","1.0","375","[""DNCTH""]","","","","","[""Staff""]","","200","","","""IS/""","298","false","","1","","","""O""","20041","","""Research""","2004"
"7863","1.0","377","[""DNCTH""]","","","","","[""Staff""]","","300","","","""Academic Internship""","394","true","","1","","","""O""","20041","","""Research""","2004"
"7864","1.0","378","[""DNCTH""]","","","","","[""Staff""]","","300","","","""IR/""","398","false","","1","","","""O""","20041","","""Research""","2004"
"7865","1.0","379","[""DNCTH""]","","","","","[""Heather J. Klopchin""]","","300","[""DC 204"", ""DC 204""]","","""Sem: Senior Dance""","399","false","","1","","","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Seminar""","2004"
"7866","1.0","381","[""ENGL""]","6","""5/999""","","","[""Gene Bauer""]","""0/999""","100","[""TB 216"", ""TB 216""]","15","""Intro/Academic Wri""","107","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"7867","1.0","383","[""ENGL""]","12","""3/999""","","","[""Jan C. Hill""]","""0/999""","100","[""RML 420"", ""RML 420""]","15","""Skills in Composition""","110","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7868","1.0","392","[""ENGL""]","25","""0/999""","","","[""Colin Wells""]","""0/0""","100","[""RML 525""]","25","""Literary Studies""","185","false","""A""","1","""0/0""","""0/999""","""C""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7869","1.0","392","[""ENGL""]","26","""0/999""","","","[""Carol Holly""]","""0/0""","100","[""RML 515"", ""RML 515""]","25","""Literary Studies""","185","false","""B""","1","""0/0""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7870","1.0","394","[""ENGL""]","1","""0/999""","","","[""Mark Allister""]","""0/999""","200","","1","""Lit Env--Wolf Ridge""","201","false","","1","""0/999""","""0/999""","""C""","20041","","""Research""","2004"
"7871","1.0","396","[""ENGL""]","30","""1/999""","","","[""Mary Steen""]","""0/999""","200","[""RML 525"", ""RML 525""]","30","""Fiction Down Under""","215","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7872","1.0","397","[""ENGL""]","36","""0/999""","","","[""Karen E. Marsalek"", ""Mary E. Trull""]","""0/999""","200","[""RML 525""]","55","""Lit in Engl to 1650""","221","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000""]","""Research""","2004"
"7873","1.0","397","[""ENGL""]","0","""0/999""","","","[""Karen E. Marsalek"", ""Mary E. Trull""]","""0/999""","200","[""RML 525"", ""RML 520""]","1","""Lit in Engl to 1650""","221","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""MW 0905-1000"", ""F 0905-1000""]","""Research""","2004"
"7874","1.0","397","[""ENGL""]","0","""0/999""","","","[""Karen E. Marsalek"", ""Mary E. Trull""]","""0/999""","200","[""RML 525"", ""RML 525""]","1","""Lit in Engl to 1650""","221","false","""C""","1","""0/999""","""0/999""","""C""","20041","[""MW 0905-1000"", ""F 0800-0855""]","""Research""","2004"
"7875","1.0","397","[""ENGL""]","0","""0/999""","","","[""Karen E. Marsalek"", ""Mary E. Trull""]","""0/999""","200","[""RML 525"", ""RML 520""]","1","""Lit in Engl to 1650""","221","false","""D""","1","""0/999""","""0/999""","""C""","20041","[""MW 0905-1000"", ""F 0800-0855""]","""Research""","2004"
"7876","1.0","399","[""ENGL""]","30","""0/999""","","","[""Jonathan Hill"", ""Colin Wells""]","""0/999""","200","[""RML 525""]","55","""Lit in Engl 1650-1850""","222","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7877","1.0","399","[""ENGL""]","0","""0/999""","","","[""Jonathan Hill"", ""Colin Wells""]","""0/999""","200","[""RML 525"", ""BC""]","1","""Lit in Engl 1650-1850""","222","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""MW 1045-1140"", ""F 1045-1140""]","""Research""","2004"
"7878","1.0","399","[""ENGL""]","0","""0/999""","","","[""Jonathan Hill"", ""Colin Wells""]","""0/999""","200","[""RML 525"", ""RML 420""]","1","""Lit in Engl 1650-1850""","222","false","""C""","1","""0/999""","""0/999""","""C""","20041","[""MW 1045-1140"", ""F 0905-1000""]","""Research""","2004"
"7879","1.0","405","[""ENGL""]","24","""1/999""","","","[""David Wee""]","""0/999""","200","[""RML 525"", ""RML 525""]","30","""Lit Eras: Victorian""","230","false","","1","""0/999""","""0/999""","""O""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7880","1.0","406","[""ENGL""]","32","""0/999""","","","[""Jan C. Hill""]","""0/999""","200","[""RML 515"", ""RML 515""]","30","""Children's Literature""","233","false","","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7881","1.0","409","[""ENGL""]","34","""0/999""","","","[""Richard Buckstead""]","""0/999""","200","[""RML 515""]","30","""Amer Lit 1915-1945""","240","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"7882","1.0","418","[""ENGL""]","28","""0/999""","","","[""Eliot K. Wilson""]","""0/999""","200","[""RML 525"", ""RML 525""]","23","""Creat Wrtg: Fict/Poet""","257","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0800-0925"", ""Th 0800-0930""]","""Research""","2004"
"7883","1.0","424","[""ENGL""]","30","""0/999""","","","[""Mary E. Trull""]","""0/999""","200","[""RML 515""]","30","""Literature & Film""","275","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7884","1.0","426","[""ENGL""]","27","""0/999""","","","[""Karen E. Marsalek""]","""0/999""","200","[""RML 525""]","30","""Shakespeare & Contemp""","280","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1150-1245PM""]","""Research""","2004"
"7885","1.0","429","[""ENGL""]","31","""0/999""","","","[""Jon Eric Nelson""]","""0/999""","200","[""RML 525""]","30","""Studies in Prose""","283","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"7886","1.0","431","[""ENGL""]","28","""0/999""","","","[""Karen Cherewatuk""]","""0/999""","200","[""RML 525"", ""RML 525""]","30","""Women & Literature""","286","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7887","1.0","432","[""ENGL""]","16","""0/999""","","","[""Richard Buckstead""]","""0/999""","200","[""RML 515""]","30","""Faulkner & Melville""","290","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7888","1.0","433","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7889","1.0","434","[""ENGL""]","1","""0/999""","","","[""David Wee""]","""0/999""","200","","999","""IS/Our Age of Austen""","298","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7890","1.0","434","[""ENGL""]","1","""0/999""","","","[""Gene Bauer""]","""0/999""","200","","999","""IS/News Paper Writing""","298","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7891","1.0","434","[""ENGL""]","0","""0/999""","","","[""Carol Holly""]","""0/999""","200","","999","""IS/Cmg of Age in Usa""","298","false","""B""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7892","1.0","434","[""ENGL""]","1","""0/999""","","","[""Carol Holly""]","""0/999""","200","","999","""IS/Coming of Age""","298","false","""C""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7893","1.0","437","[""ENGL""]","13","""0/999""","","","[""Joan Hepburn""]","""0/999""","300","[""RML 520"", ""RML 520""]","15","""Top: Multi-Cult Lit""","345","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Topic""","2004"
"7894","1.0","440","[""ENGL""]","17","""0/999""","","","[""Eliot K. Wilson""]","""0/999""","300","[""RML 515"", ""RML 515""]","15","""Advanced Poetry Wrtg""","371","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7895","1.0","443","[""ENGL""]","16","""0/999""","","","[""Jon Eric Nelson""]","""0/999""","300","[""RML 520"", ""RML 520""]","15","""Screenwriting""","374","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Research""","2004"
"7896","1.0","449","[""ENGL""]","1","""0/999""","","","[""Jan C. Hill""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7897","1.0","451","[""ENGL""]","5","""0/999""","","","[""Mary E. Trull""]","""0/999""","300","","999","""IR/Discover the Self""","398","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7898","1.0","451","[""ENGL""]","6","""0/999""","","","[""David Wee""]","""0/999""","300","","999","""IR/Our Age of Austen""","398","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7899","1.0","451","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""B""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7900","1.0","451","[""ENGL""]","1","""0/999""","","","[""Mark Allister""]","""0/999""","300","","999","""IR/Virginia Woolf""","398","false","""C""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7901","1.0","451","[""ENGL""]","1","""0/999""","","","[""Karen Cherewatuk""]","""0/999""","300","","999","""IR/Mdvl Views Nature""","398","false","""D""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7902","1.0","451","[""ENGL""]","1","""0/999""","","","[""Carol Holly""]","""0/999""","300","","999","""IR/Cmg of Age in Usa""","398","false","""E""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7903","1.0","452","[""ENGL""]","14","""0/999""","","","[""Diana Postlethwaite""]","""0/999""","300","[""RML 520"", ""RML 520""]","15","""Sem: Cultural Criticsm""","399","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Seminar""","2004"
"7904","1.0","452","[""ENGL""]","15","""1/999""","","","[""Mary Titus""]","""0/999""","300","[""RML 520"", ""RML 520""]","15","""Sem: Virtue & Money""","399","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Seminar""","2004"
"7905","1.0","453","[""ENVST""]","24","""1/999""","","","[""Mark Allister""]","""0/999""","100","[""RML 515"", ""RML 515""]","26","""Culture of Nature""","101","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0800-0925"", ""Th 0800-0930""]","""Research""","2004"
"7906","1.0","454","[""ENVST""]","26","""10/10""","","","[""Jason D. Hill""]","""0/6""","100","[""SC 274""]","26","""Conservation Biology""","125","false","","1","""0/6""","""0/7""","""C""","20041","[""MW 0100-0300PM""]","""Research""","2004"
"7907","1.0","455","[""ENVST""]","23","""7/9""","","","[""Robert Jacobel""]","""0/7""","100","[""SC 129"", ""SC 129""]","24","""Intro: Env Studies""","137","false","""A""","1","""0/6""","""0/7""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7908","1.0","455","[""ENVST""]","25","""9/9""","","","[""Eugene Bakko""]","""0/5""","100","[""SC 129"", ""SC 129""]","26","""Intro: Env Studies""","137","false","""B""","1","""0/6""","""0/5""","""C""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2004"
"7909","1.0","458","[""ENVST""]","21","""8/999""","","","[""Sheryl D. Breen""]","""0/999""","200","[""SC 129"", ""SC 129""]","26","""Env Political Theory""","225","false","","1","""0/999""","""0/999""","""O""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7910","1.0","459","[""ENVST""]","10","""1/999""","","","[""Rebecca Judge""]","""0/999""","200","[""HH 515""]","26","""Env Policy/Regulation""","232","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7911","1.0","461","[""ENVST""]","7","""0/999""","","","[""Brian C. Welch""]","""0/999""","200","[""RML 477"", ""RML 477""]","18","""Remote Sensing & Gis""","255","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 1045-1140"", ""W 0120-0320PM""]","""Research""","2004"
"7912","1.0","463","[""ENVST""]","25","""0/999""","","","[""Matthew Rohn""]","""0/999""","200","[""DC 305""]","26","""Nature & Am Landscape""","270","false","","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000""]","""Research""","2004"
"7913","1.0","464","[""ENVST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7914","1.0","465","[""ENVST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7915","1.0","466","[""ENVST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7916","1.0","467","[""ENVST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7917","1.0","467","[""ENVST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7918","1.0","469","[""IDFA""]","","","","","[""Dan Dressen""]","","100","[""TB 227"", ""TB 227""]","","""Exploring the Arts""","174","false","","1","","","""O""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7919","1.0","471","[""IDFA""]","","","","","[""Staff""]","","200","","","""Academic Internship""","294","true","","1","","","""O""","20041","","""Research""","2004"
"7920","1.0","472","[""IDFA""]","","","","","[""Staff""]","","200","","","""IS/""","298","false","","1","","","""O""","20041","","""Research""","2004"
"7921","1.0","472","[""IDFA""]","","","","","[""Staff""]","","200","","","""IS/""","298","false","""A""","1","","","""O""","20041","","""Research""","2004"
"7922","1.0","474","[""IDFA""]","","","","","[""Staff""]","","300","","","""Academic Internship""","394","true","","1","","","""O""","20041","","""Research""","2004"
"7923","1.0","475","[""IDFA""]","","","","","[""Susan Bauer""]","","300","","","""IR/Storytelling""","398","false","","1","","","""O""","20041","","""Research""","2004"
"7924","1.0","476","[""FREN""]","27","""19/999""","","","[""M. Clare Mather""]","""0/999""","100","[""OM 030""]","30","""Beginning French I""","111","false","","1","""0/999""","""0/999""","""O""","20041","[""MWF 0905-1000""]","""Research""","2004"
"7925","1.0","477","[""FREN""]","17","""12/999""","","","[""Herve Pensec""]","""0/999""","100","[""OM 026""]","18","""Beginning French II""","112","false","""A""","1","""0/999""","""0/999""","""O""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7926","1.0","477","[""FREN""]","13","""15/999""","","","[""Herve Pensec""]","""0/999""","100","[""OM 026""]","18","""Beginning French II""","112","false","""B""","1","""0/999""","""0/999""","""O""","20041","[""MWF 1150-1245PM""]","""Research""","2004"
"7927","1.0","479","[""FREN""]","21","""18/999""","","","[""Wendy Allen""]","""0/999""","200","[""OM 026""]","25","""Intermed French I""","231","false","""A""","1","""0/999""","""0/999""","""O""","20041","[""MWF 0800-0855""]","""Research""","2004"
"7928","1.0","479","[""FREN""]","17","""12/999""","","","[""M. Clare Mather""]","""0/999""","200","[""OM 031""]","25","""Intermed French I""","231","false","""B""","1","""0/999""","""0/999""","""O""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7929","1.0","479","[""FREN""]","23","""21/999""","","","[""M. Clare Mather""]","""0/999""","200","[""OM 026""]","25","""Intermed French I""","231","false","""C""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"7930","1.0","480","[""FREN""]","30","""27/999""","","","[""Wendy Allen""]","""0/999""","200","[""OM 026""]","29","""Intermed French II""","232","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000""]","""Research""","2004"
"7931","1.0","480","[""FREN""]","26","""5/999""","","","[""Jolene Barjasteh""]","""0/999""","200","[""OM 026""]","29","""Intermed French II""","232","false","""B""","1","""0/999""","""0/999""","""O""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7932","1.0","483","[""FREN""]","21","""0/999""","","","[""Scott Homler""]","""0/999""","200","[""OM 026"", ""OM 026""]","18","""Writing French""","251","false","","1","""0/999""","""0/999""","""C""","20041","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2004"
"7933","1.0","484","[""FREN""]","14","""7/999""","","","[""Jolene Barjasteh""]","""0/999""","200","[""OM 026"", ""OM 026""]","20","""Top: Fr Civilization""","252","false","","1","""0/999""","""0/999""","""O""","20041","[""T 0800-0925"", ""Th 0800-0920""]","""Topic""","2004"
"7934","1.0","486","[""FREN""]","17","""0/999""","","","[""Wendy Allen""]","""0/999""","200","[""OM 026"", ""OM 026""]","18","""Fr World: Maghreb""","271","false","","1","""0/999""","""0/999""","""O""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
"7935","1.0","490","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7936","1.0","491","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7937","1.0","491","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""IS/""","298","false","""A""","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7938","1.0","492","[""FREN""]","9","""0/999""","","","[""Herve Pensec""]","""0/999""","300","[""OM 026"", ""OM 026""]","18","""Top: Caribbean Lit""","372","false","","1","""0/999""","""0/999""","""O""","20041","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Topic""","2004"
"7939","1.0","494","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7940","1.0","496","[""FREN""]","1","""0/999""","","","[""Wendy Allen""]","""0/999""","300","","999","""IR/Secularism France""","398","false","","1","""0/999""","""0/999""","""O""","20041","","""Research""","2004"
"7941","1.0","498","[""GE""]","20","""1/999""","","","[""Karen Cherewatuk""]","""0/999""","100","[""RML 421""]","18","""First-Year Writing""","111","false","""A""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0905-1000""]","""Research""","2004"
"7942","1.0","498","[""GE""]","16","""-2/999""","","","[""Richard Buckstead""]","""0/999""","100","[""RML 420""]","18","""First-Year Writing""","111","false","""B""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1045-1140""]","""Research""","2004"
"7943","1.0","498","[""GE""]","19","""1/999""","","","[""Karen Cherewatuk""]","""0/999""","100","[""RML 420""]","18","""First-Year Writing""","111","false","""C""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1150-1245PM""]","""Research""","2004"
"7944","1.0","498","[""GE""]","19","""1/999""","","","[""Diane C. LeBlanc""]","""0/999""","100","[""RML 421""]","18","""First-Year Writing""","111","false","""D""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"7945","1.0","498","[""GE""]","18","""0/999""","","","[""Mary E. Trull""]","""0/999""","100","[""RML 520""]","18","""First-Year Writing""","111","false","""E""","1","""0/999""","""0/999""","""C""","20041","[""MWF 1255-0150PM""]","""Research""","2004"
"7946","1.0","498","[""GE""]","17","""-2/999""","","","[""Jonathan Hill""]","""0/999""","100","[""RML 421""]","18","""First-Year Writing""","111","false","""F""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7947","1.0","498","[""GE""]","16","""-3/999""","","","[""Karen E. Marsalek""]","""0/999""","100","[""RML 420""]","18","""First-Year Writing""","111","false","""G""","1","""0/999""","""0/999""","""C""","20041","[""MWF 0200-0255PM""]","""Research""","2004"
"7948","1.0","498","[""GE""]","17","""-2/999""","","","[""Mary Titus""]","""0/999""","100","[""RML 421"", ""RML 421""]","18","""First-Year Writing""","111","false","""H""","1","""0/999""","""0/999""","""C""","20041","[""T 0935-1100"", ""Th 0930-1050""]","""Research""","2004"
