"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"21947","1.0","198","[""CHEM""]","10","""1/999""","[""Gary Miessler""]","""7/999""","200","[""SC 310""]","999","""Organometallic Chem""","252","false","","2","""4/999""","""0/999""","""O""","19972","[""M-F 1040-1240PM""]","""Research""","1997"
"21948","1.0","204","[""CHEM""]","3","""1/999""","[""Wesley Pearson""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""0/999""","""O""","19972","","""Research""","1997"
"21949","1.0","204","[""CHEM""]","1","""0/999""","[""Beth Abdella""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21950","1.0","215","[""CHEM""]","10","""7/999""","[""Gary O. Spessard""]","""0/999""","300","[""SC 310"", ""SC 310""]","999","""Organic Analys/Theory""","380","false","","2","""2/999""","""0/999""","""O""","19972","[""M-F 0800-1000"", ""M-F 1240-0330PM""]","""Research""","1997"
"21951","0.0","216","[""CHEM""]","10","""7/999""","[""Staff""]","""0/999""","300","[""SC 311""]","999","""Org Analys Th/Lab""","380","false","","2","""2/999""","""0/999""","""O""","19972","[""M-F 1040-0330PM""]","""Lab""","1997"
"21952","1.0","223","[""CHEM""]","1","""1/999""","[""Wesley Pearson""]","""0/999""","300","","999","""IR/Immunochemistry II""","398","false","","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
"21953","1.0","225","[""CLASS""]","27","""0/3""","[""Gwendolyn Compton-Engle""]","""4/9""","100","[""M 30""]","30","""Ancient Comedy-Tr""","126","false","","2","""6/6""","""11/999""","""O""","19972","[""M-F 1040-1240PM""]","""Research""","1997"
"21954","1.0","232","[""CLASS""]","30","""29/999""","[""James May""]","""0/999""","200","","30","""Class Studies Greece""","251","false","","2","""1/999""","""0/999""","""C""","19972","","""Research""","1997"
"21955","1.0","254","[""ECON""]","25","""0/0""","[""Mark Pernecky""]","""7/8""","100","[""MFH 230"", ""MFH 230""]","30","""Capitalism: Struggles""","111","false","","2","""2/2""","""21/999""","""O""","19972","[""MWF 1045-1215PM"", ""MWF 0115-0245PM""]","""Research""","1997"
"21956","1.0","261","[""ECON""]","15","""13/999""","[""Xun Pomponio""]","""0/999""","200","","999","""Econ Progress China""","218","false","","2","""0/999""","""1/999""","""C""","19972","","""Research""","1997"
"21957","1.0","1580","[""ECON""]","14","""6/999""","[""Kathy C. Thomforde""]","""2/999""","200","[""H 413""]","30","""Arts Management""","229","false","","2","""6/999""","""2/999""","""O""","19972","[""M-F 1030-1230PM""]","""Research""","1997"
"21958","1.0","1581","[""ECON""]","18","""5/999""","[""Richard Goedde""]","""6/999""","200","[""SC 182"", ""H 205""]","30","""Computer Applications""","230","false","","2","""7/999""","""1/999""","""O""","19972","[""MWF 1040-1200PM"", ""MWF 0100-0230PM""]","""Research""","1997"
"21959","1.0","1582","[""ECON""]","21","""10/999""","[""Mary Ann Emery""]","""2/999""","200","[""H 301"", ""L 177"", ""H 301""]","30","""Personal Finance""","231","false","","2","""6/999""","""2/999""","""O""","19972","[""MWF 0900-1000"", ""MWF 1045-1200PM"", ""MWF 0115-0230PM""]","""Research""","1997"
"21960","1.0","273","[""ECON""]","13","""13/999""","[""William L. Carlson""]","""0/999""","200","","999","""Britain in Transition""","253","false","","2","""-1/999""","""0/999""","""C""","19972","","""Research""","1997"
"21961","1.0","276","[""ECON""]","1","""2/999""","[""Anthony Becker""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","19972","","""Research""","1997"
"21962","1.0","276","[""ECON""]","1","""0/999""","[""Kathy C. Thomforde""]","""0/999""","200","","999","""Academic Internship""","294","true","""A""","2","""0/999""","""0/999""","""O""","19972","","""Research""","1997"
