"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"9157","1.0","69","[""ART""]","1","""0/999""","","[""Nancy M. Thompson""]","""0/999""","200","","999","""IS/Art Inst Catalog""","298","false","""B""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9158","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Ceramic Study""","298","false","""C""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9159","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Advanced Tableware""","298","false","""D""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9160","1.0","69","[""ART""]","1","""0/999""","","[""Wendell Arneson""]","""0/999""","200","","999","""IS/Advanced Painting""","298","false","""E""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9161","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Functional Pottery""","298","false","""F""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9162","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Wheel Ceramics""","298","false","""G""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9163","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Air Blown Ceramics""","298","false","""H""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9164","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Ceramic Sections""","298","false","""I""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9165","1.0","69","[""ART""]","1","""0/999""","","[""Patrick T. Kelley""]","""0/999""","200","","999","""IS/Animation""","298","false","""J""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9166","1.0","71","[""ART""]","39","""0/999""","","[""John Saurer""]","""1/999""","300","[""DC 305""]","50","""Sr Studies/Studio Art""","343","false","","3","""34/999""","""0/999""","""O""","20043","[""Th 0700-1000PM""]","","""Research""","2004"
"9167","1.0","72","[""ART""]","7","""0/999""","","[""Nancy M. Thompson""]","""5/999""","300","[""DC 204"", ""DC 204""]","15","""Methods of Art Hist""","350","false","","3","""2/999""","""0/999""","""O""","20043","[""T 0120-0245PM"", ""Th 0215-0335PM""]","","""Research""","2004"
"9168","1.0","73","[""ART""]","1","""0/999""","","[""Jill Ewald""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9169","1.0","75","[""ART""]","0","""0/999""","","[""Staff""]","""0/999""","300","","999","""IR/""","398","false","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9170","1.0","77","[""ASIAN""]","19","""-2/999""","","[""Robert Entenmann""]","""0/999""","100","[""HH 514"", ""HH 514""]","20","""East Asia & the West""","112","false","","3","""0/999""","""0/999""","""C""","20043","[""T 1145-0110PM"", ""Th 1245-0205PM""]","","""Research""","2004"
"9171","1.0","78","[""ASIAN""]","35","""15/999""","","[""Karil J. Kucera""]","""8/999""","100","[""DC 305""]","35","""Asian Cultures""","121","false","","3","""6/999""","""2/999""","""C""","20043","[""MWF 0200-0255PM""]","","""Research""","2004"
"9172","1.0","87","[""ASIAN""]","27","""0/999""","","[""Phyllis Hyland Larson""]","""11/999""","200","[""RML 515""]","25","""Mod Japanese Lit-Tr""","235","false","","3","""14/999""","""1/999""","""C""","20043","[""MWF 1150-1245PM""]","","""Research""","2004"
"9173","1.0","93","[""ASIAN""]","1","""0/999""","","[""Phyllis Hyland Larson""]","""0/999""","200","","999","""Academic Internship""","294","true","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9174","1.0","94","[""ASIAN""]","2","""0/999""","","[""Phyllis Hyland Larson""]","""0/999""","200","","999","""IS/Film/Lit in Japan""","298","false","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9175","1.0","95","[""ASIAN""]","14","""0/999""","","[""Karil J. Kucera""]","""4/999""","300","[""DC 204""]","20","""Buddhism: Text-Image""","310","false","","3","""6/999""","""5/999""","""O""","20043","[""M 0700-1000PM""]","","""Research""","2004"
"9176","1.0","96","[""ASIAN""]","0","""0/999""","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9177","1.0","97","[""ASIAN""]","2","""0/999""","","[""Karil J. Kucera""]","""0/999""","300","","999","""IR/Korean Literature""","398","false","","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9178","1.0","97","[""ASIAN""]","1","""0/999""","","[""Phyllis Hyland Larson""]","""0/999""","300","","999","""IR/Asian Studies Sem""","398","false","""A""","3","""0/999""","""0/999""","""O""","20043","","","""Research""","2004"
"9179","1.0","100","[""BIO""]","23","""11/999""","","[""Diane K. Angell""]","""3/999""","100","[""SC 280"", ""SC 248""]","24","""Biological Science""","121","false","""A""","3","""1/999""","""9/999""","""C""","20043","[""MWF 0905-1000"", ""T 0800-1000""]","","""Research""","2004"
"9180","1.0","100","[""BIO""]","21","""0/999""","","[""Diane K. Angell""]","""4/999""","100","[""SC 280"", ""SC 248""]","24","""Biological Science""","121","false","""B""","3","""2/999""","""18/999""","""C""","20043","[""MWF 0905-1000"", ""T 0120-0320PM""]","","""Research""","2004"
