"clbid","credits","crsid","departments","enrolled","firsties","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","type","year"
"5670","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Advanced Ceramics""","298","false","""B""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5671","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Indep Ceramics""","298","false","""C""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5672","1.0","69","[""ART""]","1","""0/999""","","[""Ron Gallas""]","""0/999""","200","","999","""IS/Ceramic Expression""","298","false","""D""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5673","1.0","70","[""ART""]","17","""0/999""","","[""John Saurer""]","""1/999""","300","[""DC 204""]","20","""Topics Sem/Studio Art""","340","false","","1","""2/999""","""0/999""","""O""","20031","[""MWF 0800-1000""]","""Topic""","2003"
"5674","1.0","75","[""ART""]","1","""0/999""","","[""Matthew Rohn""]","""0/999""","300","","999","""IR/Art Repro & Value""","398","false","","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5675","1.0","75","[""ART""]","1","""0/999""","","[""Nancy M. Thompson""]","""0/999""","300","","999","""IR/16th Cent Math/Art""","398","false","""A""","1","""0/999""","""0/999""","""O""","20031","","""Research""","2003"
"5676","1.0","76","[""ASIAN""]","20","""0/999""","","[""Barbara Reed""]","""0/999""","100","[""OM 015"", ""OM 015""]","20","""Family & Self/E Asia""","111","false","","1","""0/999""","""0/999""","""C""","20031","[""T 1145-0110PM"", ""Th 1245-0205PM""]","""Research""","2003"
"5677","1.0","78","[""ASIAN""]","33","""9/999""","","[""Karil J. Kucera""]","""2/999""","100","[""DC 305""]","35","""Asian Cultures""","121","false","","1","""9/999""","""7/999""","""O""","20031","[""MWF 1150-1245PM""]","""Research""","2003"
"5678","1.0","83","[""ASIAN""]","28","""0/999""","","[""Pin Pin Wan""]","""8/999""","100","[""OM 001""]","30","""Cont China Thru Film""","156","false","","1","""10/999""","""12/999""","""C""","20031","[""MWF 1045-1140""]","""Research""","2003"
"5679","1.0","84","[""ASIAN""]","14","""0/999""","","[""Katherine S. Tegtmeyer Pak""]","""0/999""","200","[""OM 030"", ""OM 030""]","20","""Rice & Society/E Asia""","211","false","","1","""2/999""","""0/999""","""C""","20031","[""T 0120-0245PM"", ""Th 0215-0335PM""]","""Research""","2003"
