"clbid","credits","crsid","departments","enrolled","firsties","instructors","juniors","level","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","type","year"
"17697","1.0","1648","[""DNCTH""]","","","[""Sheryl Saterstrom""]","","100","","""Movement as Metaphor""","123","false","","2","","","""C""","19952","""Research""","1995"
"17698","1.0","1651","[""DNCTH""]","","","[""Ann (wagner) Wagner""]","","200","","""Dance/Big Band (M)""","251","false","""A""","2","","","""O""","19952","""Research""","1995"
"17699","1.0","1651","[""DNCTH""]","","","[""Ann (wagner) Wagner""]","","200","","""Dance/Big Band (W)""","251","false","""B""","2","","","""C""","19952","""Research""","1995"
"17700","1.0","375","[""DNCTH""]","","","[""Robert Bruce""]","","200","","""IS/Dance Bibliography""","298","false","","2","","","""O""","19952","""Research""","1995"
"17701","1.0","378","[""DNCTH""]","","","[""Anne von Bibra""]","","300","","""IR/Flamenco Dance""","398","false","","2","","","""O""","19952","""Research""","1995"
"17702","1.0","382","[""ENGL""]","25","""25/999""","[""Joseph L. Mbele""]","""0/999""","100","25","""Hero/Trickstr 3rd Wld""","108","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17703","1.0","1663","[""ENGL""]","25","""25/999""","[""Abby Werlock""]","""0/999""","100","25","""Amer Short Stories""","114","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17704","1.0","386","[""ENGL""]","21","""25/999""","[""Colin Wells""]","""0/999""","100","25","""The Comic Novel""","131","false","","2","""0/999""","""0/999""","""C""","19952","""Research""","1995"
"17706","1.0","414","[""ENGL""]","10","""0/999""","[""John T. Day""]","""9/999""","200","15","""IRish Short Stories""","252","false","","2","""1/999""","""0/999""","""C""","19952","""Research""","1995"
"17709","1.0","421","[""ENGL""]","11","""1/999""","[""Jonathan Hill""]","""10/999""","200","35","""Lit Eastern Caribbean""","270","false","","2","""2/999""","""1/999""","""C""","19952","""Research""","1995"
"17710","1.0","422","[""ENGL""]","26","""0/999""","[""Richard DuRocher""]","""17/999""","200","35","""Utopias""","272","false","","2","""13/999""","""0/999""","""C""","19952","""Research""","1995"
"17711","1.0","429","[""ENGL""]","22","""0/999""","[""Jan C. Hill""]","""22/999""","200","35","""Studies in Prose""","283","false","","2","""4/999""","""0/999""","""O""","19952","""Research""","1995"
"17712","1.0","433","[""ENGL""]","1","""0/999""","[""Mark Allister""]","""0/999""","200","999","""Internship""","294","true","","2","""0/999""","""1/999""","""O""","19952","""Research""","1995"
"17713","1.0","449","[""ENGL""]","1","""0/999""","[""Abby Werlock""]","""0/999""","300","999","""Internship""","394","true","","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17714","1.0","451","[""ENGL""]","2","""0/999""","[""Abby Werlock""]","""1/999""","300","999","""IR/19 & 20 Cent Stories""","398","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
"17715","1.0","451","[""ENGL""]","1","""0/999""","[""Carol Holly""]","""0/999""","300","999","""IR/M Freeman Stories""","398","false","""A""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17716","1.0","451","[""ENGL""]","1","""0/999""","[""Richard DuRocher""]","""0/999""","300","999","""IR/Milton Inspired""","398","false","""B""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17717","1.0","451","[""ENGL""]","1","""0/999""","[""Joseph L. Mbele""]","""0/999""","300","999","""IR/British/African Lt""","398","false","""C""","2","""0/999""","""0/999""","""O""","19952","""Research""","1995"
"17718","1.0","479","[""FREN""]","19","""15/999""","[""Jolene Barjasteh""]","""1/999""","200","22","""Intermed French I""","231","false","","2","""2/999""","""1/999""","""O""","19952","""Research""","1995"
"17719","1.0","1737","[""FREN""]","12","""5/999""","[""M. Clare Mather""]","""3/999""","200","15","""Lang & Culture Quebec""","234","false","","2","""2/999""","""0/999""","""C""","19952","""Research""","1995"
"17720","1.0","496","[""FREN""]","1","""0/999""","[""Wendy Allen""]","""1/999""","300","999","""IR/Contemp France""","398","false","","2","""1/999""","""0/999""","""O""","19952","""Research""","1995"
