"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","semester","seniors","sophomores","status","term","times","type","year"
"10153","0.25","353","[""DNCTE""]","0","""0/999""","","[""Jennifer Bader""]","""0/999""","100","[""DC _STUDIO_2""]","999","""Ballet I""","121","true","4","""0/999""","""0/999""","""X""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10154","1.0","371","[""DNCTH""]","","","","[""Heather J. Klopchin""]","","200","[""DC 204""]","","""Dance in America""","246","false","4","","","""O""","20044","[""M-F 1230-0200PM""]","""Research""","2004"
"10155","1.0","418","[""ENGL""]","12","""0/999""","","[""Eliot K. Wilson""]","""0/999""","200","[""RML 525""]","999","""Creat Wrtg: Fict/Poet""","257","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1000-1130""]","""Research""","2004"
"10156","1.0","424","[""ENGL""]","9","""0/999""","","[""Jon Eric Nelson""]","""0/999""","200","[""RML 525""]","999","""Literature & Film""","275","false","4","""0/999""","""0/999""","""O""","20044","[""M-F 1230-0200PM""]","""Research""","2004"
"10157","1.0","456","[""ENVST""]","0","""0/999""","","[""Anthony Lott""]","""0/999""","200","[""SC 129""]","999","""Global Env Politics""","201","false","4","""0/999""","""0/999""","""X""","20044","[""M-F 0800-0930""]","""Research""","2004"
"10158","1.0","504","[""GERM""]","1","""0/999""","","[""Staff""]","""0/999""","100","","999","""Beginning German I""","111","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
"10159","1.0","505","[""GERM""]","0","""0/999""","","[""Staff""]","""0/999""","100","","999","""Beginning German II""","112","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
"10160","1.0","508","[""GERM""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Intermed German I""","231","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
"10161","1.0","509","[""GERM""]","1","""0/999""","","[""Staff""]","""0/999""","200","","999","""Intermed German II""","232","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
"10162","1.0","514","[""GERM""]","0","""0/999""","","[""Staff""]","""0/999""","200","","999","""Speaking German""","250","false","4","""0/999""","""0/999""","""O""","20044","","""Research""","2004"
