"clbid","credits","crsid","departments","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"114391","0.25","1083","[""PHYS""]","","","","","[""Amy Larsen""]","200","[""RNS 298""]","""Modern Phys Lab (244)""","245","false","""C""","3","""O""","20173","[""T 1145-0245PM""]","""Modern Physics Laboratory""","""Lab""","2017"
"114392","1.0","1082","[""PHYS""]","","","","","[""Staff""]","200","[""RNS 210""]","""Modern Physics""","244","false","","3","""O""","20173","[""MWF 0905-1000""]","","""Research""","2017"
"114393","1.0","591","[""HIST""]","[""HWC""]","","","","[""Staff""]","200","[""TOH 210""]","""Modern Scandinavia""","222","false","","3","""O""","20173","[""T 0120-0245PM"", ""Th 0215-0335PM""]","","""Research""","2017"
"114398","1.0","368","[""DANCE""]","[""ALS-A""]","","","","[""Anthony Roberts""]","100","[""CAD Studio 1""]","""Movement/Camera/Process""","150","false","","3","""O""","20173","[""MWF 0800-1000""]","""Movement, the Camera, and the Creative Process""","""Research""","2017"
"114399","0.5","16970","[""MSCS""]","[""ORC""]","","","","[""Julie M. Legler""]","300","[""RNS 207""]","""MSCS Research Methods""","389","false","","3","""O""","20173","[""MWF 0200-0255PM""]","""Math, Statistics, and Computer Science Research Methods""","""Research""","2017"
"114400","1.0","738","[""MATH""]","","","","","[""Marju Purin""]","200","[""RNS 206""]","""Multivariable Calc""","226","false","""A""","3","""O""","20173","[""MWF 1255-0150PM""]","""Multivariable Calculus""","""Research""","2017"
"114401","1.0","738","[""MATH""]","","","","","[""Marju Purin""]","200","[""RNS 206""]","""Multivariable Calc""","226","false","""B""","3","""O""","20173","[""MWF 0200-0255PM""]","""Multivariable Calculus""","""Research""","2017"
"114406","1.0","463","[""ENVST""]","[""ALS-A"", ""HWC""]","","","","[""Matthew Rohn""]","200","[""CAD 305""]","""Nature and American Landscapes""","270","false","","3","""O""","20173","[""MWF 1255-0150PM""]","","""Research""","2017"
"114424","1.5","30521","[""NURS""]","[""WRI""]","","","","[""Staff""]","300","[""YTT 050A""]","""Nursing Leadership""","318","false","","3","""O""","20173","[""MWF 0905-1000""]","","""Research""","2017"
"114427","1.0","31151","[""HIST""]","[""MCG"", ""ORC"", ""WRI""]","","","","[""Abdulai Iddrisu""]","300","[""TB 227"", ""TB 227""]","""Oral History Seminar""","395","false","","3","""O""","20173","[""T 0935-1100"", ""Th 0930-1050""]","","""Research""","2017"
