"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"79",2687,1,523,"['GERM']","","['Lavern Rippley']",200,"","IS/Tirol Past & Pres",298,"False","False","",2,"O",20012,"","Research",2001,1
"80",2688,1,529,"['GERM']","","['Lavern Rippley']",300,"","Academic Internship",394,"True","False","",2,"O",20012,"","Research",2001,1
"81",2689,1,530,"['GERM']","","['Lavern Rippley']",300,"","IR/German Novelle",398,"False","False","",2,"O",20012,"","Research",2001,1
"82",2690,1,532,"['GCON']","","['Anne Groton']",100,"['H 515']","Romans & Christians",115,"False","False","A",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,25
"83",2691,1,532,"['GCON']","","['Jonathan Hill']",100,"['L 420']","Romans & Christians",115,"False","False","B",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,25
"84",2692,1,532,"['GCON']","","['Edward Langerak']",100,"['H 516']","Romans & Christians",115,"False","False","C",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,24
"85",2693,1,1770,"['HIST']","","['Richard A. Olson']",100,"['M 31']","Myth/Hist Ancnt World",102,"False","False","",2,"C",20012,"['M-F 0100-0300PM']","Research",2001,29
"86",2694,1,1787,"['HIST']","","['Jamie Monson']",100,"['M 30', 'M 30']","Life Hist/African Wmn",128,"False","False","",2,"C",20012,"['M-F 0900-1000', 'M-F 1040-1140']","Research",2001,27
"87",2695,1,1790,"['HIST']","","['Steven C. Hahn']",100,"['L 577']","Race,Culture Early Am",131,"False","False","",2,"C",20012,"['M-F 1040-1240PM']","Research",2001,22
"88",2696,1,1809,"['HIST']","","['Odd S. Lovoll']",100,"['H 501']","Norwegian/Amer Exper",155,"False","False","",2,"C",20012,"['M-Th 1040-1240PM']","Research",2001,55
"89",2697,1,1836,"['HIST']","","['Robert Nichols']",200,"['M 31', 'M 31']","Russian History/Lit",250,"False","False","",2,"C",20012,"['M-F 0900-1000', 'M-F 1040-1140']","Topic",2001,23
