"","clbid","credits","crsid","departments","gereqs","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"272",7874,1,397,"['ENGL']","",NA,"['Karen E. Marsalek', 'Mary E. Trull']",200,"['RML 525', 'RML 525']","Lit in Engl to 1650","",221,"False","False","C",1,"C",20041,"['MW 0905-1000', 'F 0800-0855']","Research",2004,0
"273",7875,1,397,"['ENGL']","",NA,"['Karen E. Marsalek', 'Mary E. Trull']",200,"['RML 525', 'RML 520']","Lit in Engl to 1650","",221,"False","False","D",1,"C",20041,"['MW 0905-1000', 'F 0800-0855']","Research",2004,0
"274",7876,1,399,"['ENGL']","",NA,"['Jonathan Hill', 'Colin Wells']",200,"['RML 525']","Lit in Engl 1650-1850","",222,"False","False","A",1,"C",20041,"['MWF 1045-1140']","Research",2004,30
"275",7877,1,399,"['ENGL']","",NA,"['Jonathan Hill', 'Colin Wells']",200,"['RML 525', 'BC']","Lit in Engl 1650-1850","",222,"False","False","B",1,"C",20041,"['MW 1045-1140', 'F 1045-1140']","Research",2004,0
"276",7878,1,399,"['ENGL']","",NA,"['Jonathan Hill', 'Colin Wells']",200,"['RML 525', 'RML 420']","Lit in Engl 1650-1850","",222,"False","False","C",1,"C",20041,"['MW 1045-1140', 'F 0905-1000']","Research",2004,0
"277",7879,1,405,"['ENGL']","",NA,"['David Wee']",200,"['RML 525', 'RML 525']","Lit Eras: Victorian","",230,"False","False","",1,"O",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2004,24
"278",7880,1,406,"['ENGL']","",NA,"['Jan C. Hill']",200,"['RML 515', 'RML 515']","Children's Literature","",233,"False","False","",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2004,32
"279",7881,1,409,"['ENGL']","",NA,"['Richard Buckstead']",200,"['RML 515']","Amer Lit 1915-1945","",240,"False","False","",1,"C",20041,"['MWF 1255-0150PM']","Research",2004,34
"280",7882,1,418,"['ENGL']","",NA,"['Eliot K. Wilson']",200,"['RML 525', 'RML 525']","Creat Wrtg: Fict/Poet","",257,"False","False","",1,"C",20041,"['T 0800-0925', 'Th 0800-0930']","Research",2004,28
"281",7883,1,424,"['ENGL']","",NA,"['Mary E. Trull']",200,"['RML 515']","Literature & Film","",275,"False","False","",1,"C",20041,"['MWF 1045-1140']","Research",2004,30
"282",7884,1,426,"['ENGL']","",NA,"['Karen E. Marsalek']",200,"['RML 525']","Shakespeare & Contemp","",280,"False","False","",1,"C",20041,"['MWF 1150-1245PM']","Research",2004,27
"283",7885,1,429,"['ENGL']","",NA,"['Jon Eric Nelson']",200,"['RML 525']","Studies in Prose","",283,"False","False","",1,"C",20041,"['MWF 1255-0150PM']","Research",2004,31
"284",7886,1,431,"['ENGL']","",NA,"['Karen Cherewatuk']",200,"['RML 525', 'RML 525']","Women & Literature","",286,"False","False","",1,"C",20041,"['T 0935-1100', 'Th 0930-1050']","Research",2004,28
"285",7887,1,432,"['ENGL']","",NA,"['Richard Buckstead']",200,"['RML 515']","Faulkner & Melville","",290,"False","False","",1,"O",20041,"['MWF 0200-0255PM']","Research",2004,16
"286",7888,1,433,"['ENGL']","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20041,"","Research",2004,0
"287",7889,1,434,"['ENGL']","",NA,"['David Wee']",200,"","IS/Our Age of Austen","",298,"False","False","",1,"O",20041,"","Research",2004,1
"288",7890,1,434,"['ENGL']","",NA,"['Gene Bauer']",200,"","IS/News Paper Writing","",298,"False","False","A",1,"O",20041,"","Research",2004,1
"289",7891,1,434,"['ENGL']","",NA,"['Carol Holly']",200,"","IS/Cmg of Age in Usa","",298,"False","False","B",1,"O",20041,"","Research",2004,0
"290",7892,1,434,"['ENGL']","",NA,"['Carol Holly']",200,"","IS/Coming of Age","",298,"False","False","C",1,"O",20041,"","Research",2004,1
"291",7893,1,437,"['ENGL']","",NA,"['Joan Hepburn']",300,"['RML 520', 'RML 520']","Top: Multi-Cult Lit","",345,"False","False","",1,"C",20041,"['T 0935-1100', 'Th 0930-1050']","Topic",2004,13
"292",7894,1,440,"['ENGL']","",NA,"['Eliot K. Wilson']",300,"['RML 515', 'RML 515']","Advanced Poetry Wrtg","",371,"False","False","",1,"C",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2004,17
"293",7895,1,443,"['ENGL']","",NA,"['Jon Eric Nelson']",300,"['RML 520', 'RML 520']","Screenwriting","",374,"False","False","",1,"C",20041,"['T 0800-0925', 'Th 0800-0920']","Research",2004,16
"294",7896,1,449,"['ENGL']","",NA,"['Jan C. Hill']",300,"","Academic Internship","",394,"True","False","",1,"O",20041,"","Research",2004,1
"295",7897,1,451,"['ENGL']","",NA,"['Mary E. Trull']",300,"","IR/Discover the Self","",398,"False","False","",1,"O",20041,"","Research",2004,5
"296",7898,1,451,"['ENGL']","",NA,"['David Wee']",300,"","IR/Our Age of Austen","",398,"False","False","A",1,"O",20041,"","Research",2004,6
"297",7899,1,451,"['ENGL']","",NA,"['Staff']",300,"","IR/","",398,"False","False","B",1,"O",20041,"","Research",2004,0
"298",7900,1,451,"['ENGL']","",NA,"['Mark Allister']",300,"","IR/Virginia Woolf","",398,"False","False","C",1,"O",20041,"","Research",2004,1
"299",7901,1,451,"['ENGL']","",NA,"['Karen Cherewatuk']",300,"","IR/Mdvl Views Nature","",398,"False","False","D",1,"O",20041,"","Research",2004,1
"300",7902,1,451,"['ENGL']","",NA,"['Carol Holly']",300,"","IR/Cmg of Age in Usa","",398,"False","False","E",1,"O",20041,"","Research",2004,1
"301",7903,1,452,"['ENGL']","",NA,"['Diana Postlethwaite']",300,"['RML 520', 'RML 520']","Sem: Cultural Criticsm","",399,"False","False","A",1,"C",20041,"['T 1145-0110PM', 'Th 1245-0205PM']","Seminar",2004,14
"302",7904,1,452,"['ENGL']","",NA,"['Mary Titus']",300,"['RML 520', 'RML 520']","Sem: Virtue & Money","",399,"False","False","B",1,"C",20041,"['T 0120-0245PM', 'Th 0215-0335PM']","Seminar",2004,15
