"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"62",5700,1,122,"['BIO']",NA,"['Stephen Cronin']",200,"['SC 280', 'SC 280', 'SC 211']","Intermediate Genetics",233,"False","False","C",1,"O",20031,"['T 0935-1100', 'Th 0930-1050', 'W 0200-0500PM']","Research",2003,15
"63",5701,1,122,"['BIO']",NA,"['Stephen Cronin']",200,"['SC 280', 'SC 280', 'SC 211']","Intermediate Genetics",233,"False","False","D",1,"C",20031,"['T 0935-1100', 'Th 0930-1050', 'Th 0215-0515PM']","Research",2003,17
"64",5702,1,126,"['BIO']",NA,"['William Jurney']",200,"['SC 280', 'SC 253']","Human Anatomy & Physiol",243,"False","False","A",1,"C",20031,"['MWF 0800-0855', 'M 1255-0355PM']","Research",2003,22
"65",5703,1,126,"['BIO']",NA,"['William Jurney']",200,"['SC 280', 'SC 253']","Human Anatomy & Physiol",243,"False","False","B",1,"C",20031,"['MWF 0800-0855', 'T 0800-1100']","Research",2003,18
"66",5704,1,126,"['BIO']",NA,"['William Jurney']",200,"['SC 280', 'SC 253']","Human Anatomy & Physiol",243,"False","False","C",1,"C",20031,"['MWF 0800-0855', 'T 0120-0420PM']","Research",2003,18
"67",5705,1,128,"['BIO']",NA,"['Mary C. Henry']",200,"['SC 278', 'SC 278', 'SC 269']","Animal Physiology",247,"False","False","A",1,"C",20031,"['T 0800-0925', 'Th 0800-0920', 'T 0120-0420PM']","Research",2003,11
"68",5706,1,128,"['BIO']",NA,"['Mary C. Henry']",200,"['SC 278', 'SC 278', 'SC 269']","Animal Physiology",247,"False","False","B",1,"C",20031,"['T 0800-0925', 'Th 0800-0920', 'W 1255-0355PM']","Research",2003,9
"69",5707,1,128,"['BIO']",NA,"['Mary C. Henry']",200,"['SC 278', 'SC 278', 'SC 269']","Animal Physiology",247,"False","False","C",1,"C",20031,"['T 0800-0925', 'Th 0800-0920', 'Th 0120-0420PM']","Research",2003,10
"70",5708,1,130,"['BIO']",NA,"['Michael Swift']",200,"['SC 274', 'SC 274', 'SC 229']","Invertebrate Zoology",248,"False","False","A",1,"O",20031,"['T 0935-1100', 'Th 0930-1050', 'W 1255-0355PM']","Research",2003,4
"71",5709,1,130,"['BIO']",NA,"['Michael Swift']",200,"['SC 274', 'SC 274', 'SC 229']","Invertebrate Zoology",248,"False","False","B",1,"O",20031,"['T 0935-1100', 'Th 0930-1050', 'Th 0215-0515PM']","Research",2003,9
